"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020"

"Number of Occupants";"Geographic Location";"Total";"Less than 5 sq.m/ Less than 54 sq.ft.";"5 - 9 sq.m./ 54 - 107 sq.ft.";"10 - 19 sq.m./ 108 - 209 sq.ft.";"20 - 29 sq.m./ 210 - 317 sq.ft.";"30 - 49 sq.m./ 318 - 532 sq.ft.";"50 - 69 sq.m./ 533 - 748 sq.ft.";"70 - 89 sq.m./ 749 - 963 sq.ft.";"90 - 119 sq.m./ 964 - 1,286 sq.ft.";"120 - 149 sq.m./ 1,287 - 1,609 sq.ft.";"150 - 199 sq.m./ 1,610 - 2,147 sq.ft.";"200 sq.m. and over/ 2,148 sq.ft. and over";"Not Reported";"Not applicable"
"Total";"PHILIPPINES";25191610;604430;1971391;4280677;4697906;4916334;3172998;1967744;1448698;893246;538621;567182;130709;1674
"Total";"..NATIONAL CAPITAL REGION (NCR)";3257020;61416;196190;499314;697177;693768;363962;194287;143170;112844;81822;107839;104832;399
"Total";"....City of Manila";447791;14474;41008;80663;94739;86224;46459;25515;19080;13388;10253;7730;8028;230
"Total";"....City of Mandaluyong";108859;1746;7395;19531;25621;19987;11530;4553;3140;1981;1534;2138;9695;8
"Total";"....City of Marikina";97768;933;2574;10087;24090;19187;11972;7576;5898;4812;3730;6872;35;2
"Total";"....City of Pasig";196744;1924;7837;27753;46465;50754;23077;11819;7075;5398;4136;6303;4201;2
"Total";"....Quezon City";697332;15740;46768;102628;140569;155243;78267;39092;28963;24134;20161;33746;11990;31
"Total";"....City of San Juan";29503;567;1650;3496;5295;4867;3274;1990;1479;1334;1032;1366;3138;15
"Total";"....City of Caloocan";379922;6705;16822;45309;71910;91577;55983;34915;23826;18189;7116;7333;230;7
"Total";"....City of Malabon";88079;1209;5012;19550;25585;16947;9007;4691;2004;1746;1067;1049;169;43
"Total";"....City of Navotas";55476;3141;6852;12950;9810;9437;5856;3846;1438;1036;588;423;89;10
"Total";"....City of Valenzuela";177749;3524;8559;31012;52999;36420;16862;7848;6597;6291;3265;4309;62;1
"Total";"....City of Las Piñas";142990;1434;5524;17543;28551;29880;16663;10370;8734;7864;7285;9065;72;5
"Total";"....City of Makati";180256;1801;7000;20545;28680;27511;16230;8065;6365;4971;3239;6315;49525;9
"Total";"....City of Muntinlupa";126655;778;5887;18755;27365;34477;13367;6439;4689;4352;5072;4287;1179;8
"Total";"....City of Parañaque";170674;3453;11269;26571;33518;28914;16337;10042;9486;8623;8028;12378;2046;9
"Total";"....Pasay City";114778;1219;8803;24261;24732;20332;10064;4479;3972;2598;1759;1361;11185;13
"Total";"....City of Taguig";228341;2715;12900;36812;53627;58053;27256;12102;9821;5618;3286;2973;3172;6
"Total";"....Pateros";14103;53;330;1848;3621;3958;1758;945;603;509;271;191;16;0
"Total";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";432668;1059;10555;46240;85612;92329;67104;43872;36285;21192;14518;13818;37;47
"Total";"....Abra";56928;75;388;2461;10755;15546;9858;6781;4920;3044;1547;1536;17;0
"Total";"....Apayao";28385;167;1591;5102;7451;6282;3144;1886;1268;756;422;307;3;6
"Total";"....Benguet *";115716;307;3249;15787;21573;23220;17113;10710;10184;5617;4101;3822;1;32
"Total";"....Ifugao";48379;186;1926;8760;12281;9566;6461;3681;2402;1416;810;875;15;0
"Total";"....Kalinga";47778;51;303;1721;11786;11897;8287;5715;3910;2115;1171;822;0;0
"Total";"....Mountain Province";37534;79;1214;5216;9015;7837;5703;3564;2448;1331;743;383;0;1
"Total";"....City of Baguio";97948;194;1884;7193;12751;17981;16538;11535;11153;6913;5724;6073;1;8
"Total";"..REGION I (ILOCOS REGION)";1231448;23847;72242;142022;215623;259938;193676;127495;89079;51981;28628;25964;903;50
"Total";"....Ilocos Norte";141731;1203;4959;12470;27382;34844;22097;15114;10828;6158;3712;2953;5;6
"Total";"....Ilocos Sur";164711;5981;15887;19855;20910;28297;22247;17232;13280;9152;5622;6233;12;3
"Total";"....La Union";192998;1095;6287;21563;37581;43377;31149;20495;14335;8394;4751;3938;28;5
"Total";"....Pangasinan";732008;15568;45109;88134;129750;153420;118183;74654;50636;28277;14543;12840;858;36
"Total";"..REGION II (CAGAYAN VALLEY)";875592;13676;48589;111144;174631;203851;124424;82277;54410;31702;16239;14516;126;7
"Total";"....Batanes";5174;309;435;558;743;1119;703;405;365;221;174;138;3;1
"Total";"....Cagayan";291652;5048;19389;43683;60693;66202;36040;24401;16350;9978;5119;4715;34;0
"Total";"....Isabela";405425;5610;20061;47325;78298;97821;60983;40492;25920;15074;7521;6264;56;0
"Total";"....Nueva Vizcaya";124274;2687;8560;17614;20028;24570;18471;11881;9003;5141;3031;3264;20;4
"Total";"....Quirino";49067;22;144;1964;14869;14139;8227;5098;2772;1288;394;135;13;2
"Total";"..REGION III (CENTRAL LUZON)";2892184;47326;122330;312007;468535;644137;456437;299206;236480;134092;75857;90085;5401;291
"Total";"....Aurora";56540;368;2854;8821;11989;12091;8309;4972;3470;1920;1033;681;28;4
"Total";"....Bataan";199002;2085;7332;21960;32601;39462;34009;22017;16770;10517;5931;6243;69;6
"Total";"....Bulacan";865286;13048;31644;81963;132609;250835;141420;77842;56189;34072;20013;22317;3135;199
"Total";"....Nueva Ecija";546068;10429;34515;84524;112876;104177;70513;48111;35608;21048;11841;12170;249;7
"Total";"....Pampanga *";540236;12189;20465;41352;63730;95402;86647;70156;69251;35106;19261;25947;720;10
"Total";"....Tarlac";350479;4548;15998;35911;56435;69555;59543;40908;29994;17454;9531;9728;843;31
"Total";"....Zambales *";161255;961;6611;24026;35611;36414;25472;13939;9550;4607;2248;1730;70;16
"Total";"....City of Angeles";109497;3505;1220;6132;9974;21404;19179;14855;11633;6734;4492;10068;285;16
"Total";"....City of Olongapo";63821;193;1691;7318;12710;14797;11345;6406;4015;2634;1507;1201;2;2
"Total";"..REGION IV-A (CALABARZON)";3820739;54136;156807;381285;553816;1017522;639890;388018;274332;164146;97687;90809;1913;378
"Total";"....Batangas";674774;15386;39324;84351;104888;129432;105206;69001;54828;34165;19491;18481;158;63
"Total";"....Cavite";1036970;7802;24569;69178;134010;323087;191248;117265;79361;45230;22472;21167;1304;277
"Total";"....Laguna";834930;10850;26840;62522;103651;239447;142802;94199;65910;38810;28139;21646;93;21
"Total";"....Quezon *";463376;9126;39303;96718;91847;83534;61264;34252;23742;11916;6439;5057;175;3
"Total";"....Rizal";746907;10682;25276;63438;110269;224387;126569;66292;45617;31335;19532;23319;177;14
"Total";"....City of Lucena";63782;290;1495;5078;9151;17635;12801;7009;4874;2690;1614;1139;6;0
"Total";"..MIMAROPA REGION";781435;50816;124501;189568;146138;109425;60630;36734;27179;17711;9726;8675;328;4
"Total";"....Marinduque";59263;4400;9342;14538;9625;7628;4706;2838;2391;1759;1029;950;56;1
"Total";"....Occidental Mindoro";125023;4350;18062;31637;26908;18492;10042;5824;4329;2497;1618;1231;32;1
"Total";"....Oriental Mindoro";212416;6010;25659;54190;44170;34134;19307;11190;7821;5198;2446;2253;37;1
"Total";"....Palawan *";228788;28062;51731;57424;38073;25064;11265;6433;3978;3194;1813;1607;144;0
"Total";"....Romblon";75895;1667;8390;17780;16055;12569;7262;4564;3418;1939;1143;1089;18;1
"Total";"....City of Puerto Princesa";80050;6327;11317;13999;11307;11538;8048;5885;5242;3124;1677;1545;41;0
"Total";"..REGION V (BICOL REGION)";1342578;48863;152025;272446;279803;244284;129002;79704;59183;35964;21209;19279;763;53
"Total";"....Albay";305362;17253;40088;53182;55088;54134;31359;19127;15471;8699;5477;5357;120;7
"Total";"....Camarines Norte";142094;1117;9286;30527;30621;28192;15937;10658;7232;4669;2152;1613;80;10
"Total";"....Camarines Sur";445150;16068;49796;86316;94468;83597;44243;26252;18611;11618;7159;6614;387;21
"Total";"....Catanduanes";59815;330;2222;7885;12042;14452;7700;5298;4764;2579;1442;1054;37;10
"Total";"....Masbate";204668;9796;35588;61361;43402;23565;11067;7304;4680;3551;2169;2123;59;3
"Total";"....Sorsogon";185489;4299;15045;33175;44182;40344;18696;11065;8425;4848;2810;2518;80;2
"Total";"..REGION VI (WESTERN VISAYAS)";1896202;48444;187620;408775;352640;282283;214007;140107;105591;66854;41992;46226;1603;60
"Total";"....Aklan";147890;961;6907;27672;34814;28836;19238;10421;8144;4794;3106;2945;51;1
"Total";"....Antique";146370;3770;18484;36860;30438;20281;13444;8085;6653;3766;2146;2315;126;2
"Total";"....Capiz";199268;4847;18654;46553;41904;30426;19689;12439;9849;6390;4291;4077;140;9
"Total";"....Guimaras";47137;1413;7130;11963;9689;7365;3827;2175;1526;996;604;428;19;2
"Total";"....Iloilo *";499274;13481;47463;101770;90342;76748;54214;37563;31418;19531;11981;13904;832;27
"Total";"....Negros Occidental *";619110;21479;80326;162327;116994;79536;55625;39450;26132;17173;9850;10036;182;0
"Total";"....City of Bacolod";138999;1987;5505;12777;17602;22628;28588;17995;12502;7820;5114;6426;49;6
"Total";"....City of Iloilo";98154;506;3151;8853;10857;16463;19382;11979;9367;6384;4900;6095;204;13
"Total";"..REGION VII (CENTRAL VISAYAS)";1909857;85427;247658;444270;335846;283491;190736;108938;83962;53615;33910;40926;1011;67
"Total";"....Bohol";319246;12962;36778;70047;59219;48372;30191;19689;15921;10423;6971;8171;486;16
"Total";"....Cebu *";774454;40735;108817;184642;127254;106156;76501;44772;34845;21989;13008;15485;231;19
"Total";"....Negros Oriental";343272;18648;59793;105927;58005;36645;21709;13407;10904;7725;4977;5332;188;12
"Total";"....Siquijor";25698;143;954;3333;5594;6503;4134;2098;1227;812;542;355;2;1
"Total";"....City of Cebu";219984;5492;17674;38009;43959;41280;29185;13759;11554;6956;5038;6992;72;14
"Total";"....City of Lapu-Lapu (Opon)";127300;4385;12379;22196;21860;25734;18242;9640;5529;3337;1787;2204;6;1
"Total";"....City of Mandaue";99903;3062;11263;20116;19955;18801;10774;5573;3982;2373;1587;2387;26;4
"Total";"..REGION VIII (EASTERN VISAYAS)";1068259;27703;94263;218757;222249;192327;114400;72546;51656;33632;20856;19458;373;39
"Total";"....Biliran";42634;304;1618;5469;10022;10307;5734;3511;2576;1563;841;687;2;0
"Total";"....Eastern Samar";114960;751;4335;16204;26634;26392;16423;10274;6463;3967;1925;1538;50;4
"Total";"....Leyte *";438893;12747;49653;102953;88986;64847;41055;26494;19532;13853;8868;9799;87;19
"Total";"....Northern Samar";137759;10470;22637;28455;25921;24286;10248;5878;4103;2513;1845;1356;46;1
"Total";"....Samar (Western Samar)";178614;356;4564;38030;44546;37414;21782;14116;8898;4941;2473;1319;171;4
"Total";"....Southern Leyte";100046;2398;9020;20304;18599;17290;10854;6829;5688;3986;2482;2578;13;5
"Total";"....City of Tacloban";55353;677;2436;7342;7541;11791;8304;5444;4396;2809;2422;2181;4;6
"Total";"..REGION IX (ZAMBOANGA PENINSULA)";858337;18296;79330;189682;181798;134480;91472;58466;45236;26959;15359;16333;896;30
"Total";"....Zamboanga del Norte";240805;10961;40829;72619;44253;27550;15397;9875;7860;4838;3038;3469;116;0
"Total";"....Zamboanga del Sur *";232500;1568;12654;50049;74882;43516;22857;11467;7471;4177;2357;1426;65;11
"Total";"....Zamboanga Sibugay";151206;2027;15917;46940;38048;23474;10927;5984;3148;2255;1123;1097;265;1
"Total";"....City of Isabela **";24305;128;402;3183;5298;4459;3395;2510;1999;1208;773;899;49;2
"Total";"....City of Zamboanga";209521;3612;9528;16891;19317;35481;38896;28630;24758;14481;8068;9442;401;16
"Total";"..REGION X (NORTHERN MINDANAO)";1131542;31543;113547;244516;224035;175697;125650;79283;58584;36016;21459;20818;369;25
"Total";"....Bukidnon";347980;16863;56878;90534;61461;39948;25717;18697;14238;10135;6579;6759;162;9
"Total";"....Camiguin";21821;291;1169;2928;3123;3762;2969;2239;2183;1307;816;1034;0;0
"Total";"....Lanao del Norte *";137943;1738;10022;26482;30286;24469;17278;10757;7246;5067;2619;1943;36;0
"Total";"....Misamis Occidental";145529;7042;20327;36494;27322;18721;11773;7731;6347;4159;2685;2846;77;5
"Total";"....Misamis Oriental *";218537;2933;13449;54286;55578;39346;22686;12604;8701;4474;2450;1966;59;5
"Total";"....City of Cagayan de Oro";177951;1903;7739;23703;34268;35106;30853;18435;12519;6423;3649;3327;21;5
"Total";"....City of Iligan";81781;773;3963;10089;11997;14345;14374;8820;7350;4451;2661;2943;14;1
"Total";"..REGION XI (DAVAO REGION)";1285860;40880;147104;289442;228116;186408;140899;88315;74460;42840;25250;21390;680;76
"Total";"....Davao de Oro (Compostela Valley)";184649;7288;29271;55159;41514;23320;11127;6036;4762;2804;1667;1587;108;6
"Total";"....Davao del Norte";264129;6428;21231;61078;53154;44479;29840;18361;14582;7262;4165;3358;183;8
"Total";"....Davao del Sur *";176400;9537;30853;51869;31117;18758;11524;7385;5924;4126;2569;2664;59;15
"Total";"....Davao Occidental";76739;1939;16487;30202;15884;7184;2473;1074;659;459;176;153;49;0
"Total";"....Davao Oriental";134328;2694;12855;33234;29660;18888;11971;8379;7590;4888;2307;1753;108;1
"Total";"....City of Davao";449615;12994;36407;57900;56787;73779;73964;47080;40943;23301;14366;11875;173;46
"Total";"..REGION XII (SOCCSKSARGEN)";1037179;25829;130143;288711;238179;155793;85463;48379;30850;16994;9095;7413;235;95
"Total";"....Cotabato (North Cotabato)";300107;15777;55074;92157;59348;33113;16792;10829;7217;4426;2702;2550;49;73
"Total";"....Sarangani";130972;3887;24229;47485;27178;13837;6223;3701;1973;1307;639;484;29;0
"Total";"....South Cotabato *";238720;2420;20001;67432;65278;41203;19221;9567;6550;3616;2033;1361;32;6
"Total";"....Sultan Kudarat";195885;1873;17316;47100;53414;35708;19192;9912;5403;2959;1649;1295;63;1
"Total";"....City of General Santos (Dadiangas)";171495;1872;13523;34537;32961;31932;24035;14370;9707;4686;2072;1723;62;15
"Total";"..REGION XIII (CARAGA)";645835;15084;55169;140152;142611;109980;68893;42433;30234;18833;11364;10736;319;27
"Total";"....Agusan del Norte *";88064;4316;13868;22843;15316;10042;6136;4634;4120;2661;1813;2241;74;0
"Total";"....Agusan del Sur";171961;835;9555;47024;50711;32266;16062;7026;4047;2317;1295;760;51;12
"Total";"....Dinagat Islands";28447;1992;4461;7400;5473;3754;1711;1136;715;662;561;557;25;0
"Total";"....Surigao del Norte";123575;4537;14884;25858;23187;19395;12193;8505;6072;4035;2516;2360;31;2
"Total";"....Surigao del Sur";147305;732;5336;24313;36104;32014;21191;11417;7424;4217;2525;2011;15;6
"Total";"....City of Butuan";86483;2672;7065;12714;11820;12509;11600;9715;7856;4941;2654;2807;123;7
"Total";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";724875;10085;33318;102346;151097;130621;106353;77684;48007;27871;13650;12897;10920;26
"Total";"....Basilan";69327;538;2540;9018;16916;16907;10540;6982;3550;1277;522;311;223;3
"Total";"....Lanao del Sur";130552;1764;4812;10783;17742;21589;21412;19490;14128;9311;5114;4034;355;18
"Total";"....Maguindanao";266763;3286;12588;41053;60388;47913;39317;26955;15687;9044;4536;5571;420;5
"Total";"....Sulu";146622;1526;7146;26664;33683;24423;16395;11320;8046;4532;1928;1069;9890;0
"Total";"....Tawi-Tawi";65741;268;2063;9854;17798;14119;9033;5030;3597;2426;1018;504;31;0
"Total";"....Eight (8) Area Clusters ***";45870;2703;4169;4974;4570;5670;9656;7907;2999;1281;532;1408;1;0
"One Occupant";"PHILIPPINES";2248216;102833;282603;438192;401436;376154;225651;135769;99205;66603;41413;49034;28839;484
"One Occupant";"..NATIONAL CAPITAL REGION (NCR)";380317;10034;31096;63712;78049;68475;34368;18350;13888;12424;9040;13863;26909;109
"One Occupant";"....City of Manila";55811;2478;6170;10307;10911;9352;4986;2723;2299;1811;1326;1362;2029;57
"One Occupant";"....City of Mandaluyong";17729;361;1274;2641;4401;2908;1615;541;410;277;239;353;2708;1
"One Occupant";"....City of Marikina";6794;136;349;886;1463;1153;732;458;405;363;327;511;11;0
"One Occupant";"....City of Pasig";24949;313;1419;3942;5934;5817;2630;1284;741;582;501;713;1072;1
"One Occupant";"....Quezon City";76179;2790;7534;12828;14383;14334;7411;3860;2836;2490;2040;3479;2184;10
"One Occupant";"....City of San Juan";3640;118;331;484;619;518;372;218;153;183;124;115;403;2
"One Occupant";"....City of Caloocan";20250;540;1350;3181;4007;4297;2261;1551;971;1015;457;595;23;2
"One Occupant";"....City of Malabon";5856;147;650;1459;1511;880;503;231;123;111;99;100;30;12
"One Occupant";"....City of Navotas";3901;258;572;758;564;728;450;264;102;96;55;40;11;3
"One Occupant";"....City of Valenzuela";18300;575;1440;4123;5596;2992;1201;518;466;622;285;473;8;1
"One Occupant";"....City of Las Piñas";13145;226;644;1734;2311;2361;1414;970;804;809;643;1169;59;1
"One Occupant";"....City of Makati";43037;491;2100;4958;6222;5207;2794;1590;1014;1117;533;1752;15253;6
"One Occupant";"....City of Muntinlupa";14459;167;974;2625;3225;3636;1231;628;437;421;405;467;239;4
"One Occupant";"....City of Parañaque";24564;644;1952;3718;4603;3756;2382;1432;1315;1273;1297;1988;202;2
"One Occupant";"....Pasay City";19585;292;1898;4220;4322;3062;1422;629;673;549;256;252;2004;6
"One Occupant";"....City of Taguig";30863;489;2373;5590;7648;7188;2857;1370;1104;664;430;481;668;1
"One Occupant";"....Pateros";1255;9;66;258;329;286;107;83;35;41;23;13;5;0
"One Occupant";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";54495;313;3677;10881;12537;10061;6413;3757;2869;1680;1141;1147;5;14
"One Occupant";"....Abra";4926;10;105;438;1169;1204;770;451;346;186;99;147;1;0
"One Occupant";"....Apayao";2012;26;292;535;479;337;125;99;50;31;23;14;0;1
"One Occupant";"....Benguet *";18321;125;1429;4719;4065;3115;1931;1029;839;472;299;289;0;9
"One Occupant";"....Ifugao";6323;67;613;1843;1845;938;453;228;147;77;58;50;4;0
"One Occupant";"....Kalinga";3338;4;69;228;1209;766;453;274;147;100;48;40;0;0
"One Occupant";"....Mountain Province";5436;20;321;1056;1294;1024;726;446;282;146;77;43;0;1
"One Occupant";"....City of Baguio";14139;61;848;2062;2476;2677;1955;1230;1058;668;537;564;0;3
"One Occupant";"..REGION I (ILOCOS REGION)";105106;3825;9970;16590;19532;19043;13277;8649;6100;3831;2176;2001;91;21
"One Occupant";"....Ilocos Norte";13135;232;812;1689;2663;2890;1715;1184;862;500;318;264;1;5
"One Occupant";"....Ilocos Sur";14690;821;1799;2048;1909;2247;1766;1338;1040;739;469;511;1;2
"One Occupant";"....La Union";17153;241;1279;3094;3738;3125;2151;1358;962;601;316;286;1;1
"One Occupant";"....Pangasinan";60128;2531;6080;9759;11222;10781;7645;4769;3236;1991;1073;940;88;13
"One Occupant";"..REGION II (CAGAYAN VALLEY)";67177;2260;6514;12221;14242;13170;7330;4597;3002;1871;1045;911;13;1
"One Occupant";"....Batanes";993;126;112;150;144;174;116;57;42;34;28;10;0;0
"One Occupant";"....Cagayan";20459;738;2320;4068;4335;3799;1956;1308;816;515;312;288;4;0
"One Occupant";"....Isabela";28363;865;2533;4714;5999;5967;3263;2077;1310;856;439;335;5;0
"One Occupant";"....Nueva Vizcaya";13260;524;1498;2576;2226;2329;1555;912;704;419;244;269;3;1
"One Occupant";"....Quirino";4102;7;51;713;1538;901;440;243;130;47;22;9;1;0
"One Occupant";"..REGION III (CENTRAL LUZON)";217550;5646;15327;30656;38380;44577;29885;18835;14120;8380;4832;6250;598;64
"One Occupant";"....Aurora";4672;83;543;969;997;844;563;276;206;88;60;38;2;3
"One Occupant";"....Bataan";15036;294;1016;2433;2744;2799;2179;1268;934;626;335;401;5;2
"One Occupant";"....Bulacan";63344;1516;3656;8027;11019;16535;8873;4997;3414;2165;1309;1496;292;45
"One Occupant";"....Nueva Ecija";38534;1369;4114;7038;7837;6359;4157;2784;2020;1287;738;804;24;3
"One Occupant";"....Pampanga *";38098;1115;1742;3229;4797;6970;6323;4543;4161;2120;1168;1791;138;1
"One Occupant";"....Tarlac";26176;677;1993;3443;4806;4942;3744;2545;1712;1046;549;622;91;6
"One Occupant";"....Zambales *";15132;242;1492;3311;3438;2831;1621;871;659;339;181;142;4;1
"One Occupant";"....City of Angeles";9600;302;199;761;1143;1912;1601;1140;745;496;382;876;41;2
"One Occupant";"....City of Olongapo";6958;48;572;1445;1599;1385;824;411;269;213;110;80;1;1
"One Occupant";"..REGION IV-A (CALABARZON)";360670;8263;22408;44157;57926;91220;52105;31727;22028;13723;8326;8374;302;111
"One Occupant";"....Batangas";59382;2000;4894;8526;9425;11298;8308;5017;4209;2637;1570;1445;40;13
"One Occupant";"....Cavite";99599;1304;4218;9883;15915;28760;16077;9485;6028;3672;1915;2033;222;87
"One Occupant";"....Laguna";102007;1973;4568;9763;15163;28922;14614;10183;6929;4268;2902;2703;15;4
"One Occupant";"....Quezon *";41209;1777;5733;9215;7640;6380;4485;2450;1698;911;510;400;9;1
"One Occupant";"....Rizal";53678;1161;2748;6183;8912;14691;7840;4150;2874;2068;1335;1695;15;6
"One Occupant";"....City of Lucena";4795;48;247;587;871;1169;781;442;290;167;94;98;1;0
"One Occupant";"..MIMAROPA REGION";72382;8424;15544;17194;11419;8032;4323;2595;1966;1418;732;681;50;4
"One Occupant";"....Marinduque";6746;814;1292;1536;983;785;476;263;227;172;89;101;7;1
"One Occupant";"....Occidental Mindoro";9438;602;1962;2400;1674;1140;596;366;323;182;105;83;4;1
"One Occupant";"....Oriental Mindoro";16945;1045;3228;4270;3011;2244;1225;692;500;375;180;165;9;1
"One Occupant";"....Palawan *";21619;4372;5706;5044;2870;1731;743;409;248;229;128;119;20;0
"One Occupant";"....Romblon";8311;375;1469;2110;1655;1053;604;388;292;177;103;82;2;1
"One Occupant";"....City of Puerto Princesa";9323;1216;1887;1834;1226;1079;679;477;376;283;127;131;8;0
"One Occupant";"..REGION V (BICOL REGION)";103999;7807;18715;23355;18667;14830;7523;4635;3567;2176;1331;1302;70;21
"One Occupant";"....Albay";21927;2201;3989;4061;3547;3087;1759;1100;874;518;357;419;13;2
"One Occupant";"....Camarines Norte";10883;300;1797;2861;2020;1684;876;540;365;226;108;88;11;7
"One Occupant";"....Camarines Sur";35927;2828;6231;7993;6520;5214;2698;1614;1183;734;447;427;30;8
"One Occupant";"....Catanduanes";4802;107;456;930;884;925;458;355;355;149;93;81;7;2
"One Occupant";"....Masbate";15469;1690;4027;4358;2498;1260;567;374;260;194;130;105;5;1
"One Occupant";"....Sorsogon";14991;681;2215;3152;3198;2660;1165;652;530;355;196;182;4;1
"One Occupant";"..REGION VI (WESTERN VISAYAS)";170509;10318;30053;41265;28067;20478;14129;9217;6449;4317;2736;3246;213;21
"One Occupant";"....Aklan";15041;351;2121;4487;3079;1960;1246;626;468;300;189;205;8;1
"One Occupant";"....Antique";15292;1025;3492;3965;2624;1633;981;594;416;257;126;159;20;0
"One Occupant";"....Capiz";18394;1104;3312;5075;3397;2109;1190;703;572;384;255;275;15;3
"One Occupant";"....Guimaras";5144;535;1373;1294;753;529;279;129;117;66;33;30;5;1
"One Occupant";"....Iloilo *";48318;3153;8575;11614;7541;5956;3839;2644;1938;1283;762;902;101;10
"One Occupant";"....Negros Occidental *";48695;3652;9759;12236;7961;5316;3523;2484;1489;1022;591;640;22;0
"One Occupant";"....City of Bacolod";11360;375;816;1512;1633;1771;1820;1172;800;541;395;514;9;2
"One Occupant";"....City of Iloilo";8265;123;605;1082;1079;1204;1251;865;649;464;385;521;33;4
"One Occupant";"..REGION VII (CENTRAL VISAYAS)";185530;15579;35467;43409;29379;22452;14143;8033;6064;4363;2765;3742;110;24
"One Occupant";"....Bohol";28565;2296;4810;6475;4865;3659;2225;1358;1055;741;484;545;45;7
"One Occupant";"....Cebu *";67329;6379;13565;15947;9910;7406;4982;3066;2248;1638;989;1164;26;9
"One Occupant";"....Negros Oriental";29519;3345;7611;8241;3739;2379;1442;836;660;515;343;382;22;4
"One Occupant";"....Siquijor";2930;50;441;774;593;474;237;123;89;66;49;34;0;0
"One Occupant";"....City of Cebu";25330;1318;3125;4649;4904;3966;2627;1244;1159;797;573;955;11;2
"One Occupant";"....City of Lapu-Lapu (Opon)";15472;1265;2943;3503;2317;2192;1361;776;401;286;145;280;2;1
"One Occupant";"....City of Mandaue";16385;926;2972;3820;3051;2376;1269;630;452;320;182;382;4;1
"One Occupant";"..REGION VIII (EASTERN VISAYAS)";107895;6217;17257;26628;20973;14393;8153;5052;3663;2500;1559;1421;63;16
"One Occupant";"....Biliran";3972;92;351;890;953;720;361;241;153;92;71;48;0;0
"One Occupant";"....Eastern Samar";12602;234;1153;2763;3364;2131;1173;726;487;298;143;114;13;3
"One Occupant";"....Leyte *";49904;3604;9930;12855;8715;5333;3362;2038;1503;1132;672;737;14;9
"One Occupant";"....Northern Samar";11035;1529;2599;2296;1665;1365;552;338;291;176;122;93;8;1
"One Occupant";"....Samar (Western Samar)";15306;99;1361;4643;3677;2431;1299;805;464;291;136;75;23;2
"One Occupant";"....Southern Leyte";10138;511;1461;2266;1846;1511;837;550;461;295;219;177;4;0
"One Occupant";"....City of Tacloban";4938;148;402;915;753;902;569;354;304;216;196;177;1;1
"One Occupant";"..REGION IX (ZAMBOANGA PENINSULA)";61378;3294;12525;16622;10295;6574;4171;2813;2016;1277;781;940;67;3
"One Occupant";"....Zamboanga del Norte";20140;1873;5310;5490;2888;1713;963;641;487;301;220;246;8;0
"One Occupant";"....Zamboanga del Sur *";17323;528;3779;6134;3785;1399;681;419;266;149;92;78;11;2
"One Occupant";"....Zamboanga Sibugay";10627;490;2503;3408;2024;1077;492;264;145;114;49;50;11;0
"One Occupant";"....City of Isabela **";1051;7;47;203;274;166;111;76;55;28;25;55;4;0
"One Occupant";"....City of Zamboanga";12237;396;886;1387;1324;2219;1924;1413;1063;685;395;511;33;1
"One Occupant";"..REGION X (NORTHERN MINDANAO)";86737;4885;13353;21285;16028;10984;7492;4535;3337;2081;1286;1420;42;9
"One Occupant";"....Bukidnon";21372;2061;4792;5342;3135;2120;1278;939;624;452;266;340;21;2
"One Occupant";"....Camiguin";2184;73;199;370;328;378;236;174;165;103;71;87;0;0
"One Occupant";"....Lanao del Norte *";9192;412;1505;2357;1803;1192;726;463;315;193;109;114;3;0
"One Occupant";"....Misamis Occidental";12523;1196;2641;3029;1935;1296;853;492;380;285;199;213;2;2
"One Occupant";"....Misamis Oriental *";16943;555;2140;5534;3863;2055;1154;669;467;231;140;127;7;1
"One Occupant";"....City of Cagayan de Oro";18380;482;1546;3655;3990;2985;2365;1301;940;518;307;282;6;3
"One Occupant";"....City of Iligan";6143;106;530;998;974;958;880;497;446;299;194;257;3;1
"One Occupant";"..REGION XI (DAVAO REGION)";130384;7896;22206;29265;19678;15767;13060;7399;6278;4106;2289;2316;87;37
"One Occupant";"....Davao de Oro (Compostela Valley)";16757;1495;4227;4781;2887;1511;760;400;322;176;94;85;17;2
"One Occupant";"....Davao del Norte";20057;1014;2833;5739;3804;2591;1576;923;751;408;205;190;20;3
"One Occupant";"....Davao del Sur *";18924;1851;4463;5181;2820;1635;1028;608;449;388;238;257;3;3
"One Occupant";"....Davao Occidental";5891;468;2316;1828;721;294;112;59;37;29;14;6;7;0
"One Occupant";"....Davao Oriental";10677;495;1679;3002;2119;1195;745;549;438;247;100;100;8;0
"One Occupant";"....City of Davao";58078;2573;6688;8734;7327;8541;8839;4860;4281;2858;1638;1678;32;29
"One Occupant";"..REGION XII (SOCCSKSARGEN)";83919;5042;19468;26031;14879;8495;4473;2278;1495;879;462;363;38;16
"One Occupant";"....Cotabato (North Cotabato)";24383;2604;6471;6960;3602;2021;1049;667;437;271;163;130;2;6
