"Number of Establishments Employing 20 or More Workers With Productivity Improvement Programs (PIPs) by Extent PIP Objective Was Met and Major Industry Group, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/3501B3GP06b.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Productivity Improvement Programs (PIPs)";"Extent PIP Objective Was Met";"2013"
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Work Accidents/Injuries";"..100%";27
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Work Accidents/Injuries";"..99% - 50%";37
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Work Accidents/Injuries";"..Below 50%";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Wastage";"Total";82
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Wastage";"..100%";27
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Wastage";"..99% - 50%";55
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Wastage";"..Below 50%";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Customer Complaints";"Total";154
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Customer Complaints";"..100%";33
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Customer Complaints";"..99% - 50%";116
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Customer Complaints";"..Below 50%";5
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Personnel Downtime";"Total";72
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Personnel Downtime";"..100%";27
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Personnel Downtime";"..99% - 50%";45
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Personnel Downtime";"..Below 50%";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Machine Downtime";"Total";65
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Machine Downtime";"..100%";19
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Machine Downtime";"..99% - 50%";47
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Machine Downtime";"..Below 50%";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Rework";"Total";60
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Rework";"..100%";18
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Rework";"..99% - 50%";42
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Rework";"..Below 50%";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Profit or Sales";"Total";81
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Profit or Sales";"..100%";21
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Profit or Sales";"..99% - 50%";55
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Profit or Sales";"..Below 50%";5
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Volume of Production";"Total";71
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Volume of Production";"..100%";9
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Volume of Production";"..99% - 50%";59
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Volume of Production";"..Below 50%";4
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Improve Product Quality";"Total";115
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Improve Product Quality";"..100%";35
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Improve Product Quality";"..99% - 50%";81
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Improve Product Quality";"..Below 50%";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";"Total";19
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";"..100%";10
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";"..99% - 50%";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";"..Below 50%";8
"..Construction";"Shorten Process Cycle Time";"Total";417
"..Construction";"Shorten Process Cycle Time";"..100%";18
"..Construction";"Shorten Process Cycle Time";"..99% - 50%";327
"..Construction";"Shorten Process Cycle Time";"..Below 50%";72
"..Construction";"Reduction of Work Accidents/Injuries";"Total";544
"..Construction";"Reduction of Work Accidents/Injuries";"..100%";151
"..Construction";"Reduction of Work Accidents/Injuries";"..99% - 50%";389
"..Construction";"Reduction of Work Accidents/Injuries";"..Below 50%";4
"..Construction";"Reduction of Wastage";"Total";375
"..Construction";"Reduction of Wastage";"..100%";93
"..Construction";"Reduction of Wastage";"..99% - 50%";268
"..Construction";"Reduction of Wastage";"..Below 50%";13
"..Construction";"Reduction of Customer Complaints";"Total";485
"..Construction";"Reduction of Customer Complaints";"..100%";127
"..Construction";"Reduction of Customer Complaints";"..99% - 50%";354
"..Construction";"Reduction of Customer Complaints";"..Below 50%";4
"..Construction";"Reduction of Personnel Downtime";"Total";287
"..Construction";"Reduction of Personnel Downtime";"..100%";4
"..Construction";"Reduction of Personnel Downtime";"..99% - 50%";280
"..Construction";"Reduction of Personnel Downtime";"..Below 50%";3
"..Construction";"Reduction of Machine Downtime";"Total";342
"..Construction";"Reduction of Machine Downtime";"..100%";6
"..Construction";"Reduction of Machine Downtime";"..99% - 50%";331
"..Construction";"Reduction of Machine Downtime";"..Below 50%";5
"..Construction";"Reduction of Rework";"Total";322
"..Construction";"Reduction of Rework";"..100%";34
"..Construction";"Reduction of Rework";"..99% - 50%";282
"..Construction";"Reduction of Rework";"..Below 50%";5
"..Construction";"Increase Profit or Sales";"Total";461
"..Construction";"Increase Profit or Sales";"..100%";79
"..Construction";"Increase Profit or Sales";"..99% - 50%";284
"..Construction";"Increase Profit or Sales";"..Below 50%";99
"..Construction";"Increase Volume of Production";"Total";305
"..Construction";"Increase Volume of Production";"..100%";26
"..Construction";"Increase Volume of Production";"..99% - 50%";262
"..Construction";"Increase Volume of Production";"..Below 50%";16
"..Construction";"Improve Product Quality";"Total";312
"..Construction";"Improve Product Quality";"..100%";44
"..Construction";"Improve Product Quality";"..99% - 50%";197
"..Construction";"Improve Product Quality";"..Below 50%";71
"..Construction";"Others";"Total";69
"..Construction";"Others";"..100%";69
"..Construction";"Others";"..99% - 50%";0
"..Construction";"Others";"..Below 50%";0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Shorten Process Cycle Time";"Total";1203
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Shorten Process Cycle Time";"..100%";268
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Shorten Process Cycle Time";"..99% - 50%";884
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Shorten Process Cycle Time";"..Below 50%";52
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Work Accidents/Injuries";"Total";2045
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Work Accidents/Injuries";"..100%";659
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Work Accidents/Injuries";"..99% - 50%";1196
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Work Accidents/Injuries";"..Below 50%";190
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Wastage";"Total";1536
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Wastage";"..100%";281
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Wastage";"..99% - 50%";1182
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Wastage";"..Below 50%";74
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Customer Complaints";"Total";3165
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Customer Complaints";"..100%";832
