"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Occupied Housing Units";"Number of Households /a";"Household Population /a"
"Duplex";"....Nueva Vizcaya";3001;3096;10962
"Duplex";"....Quirino";462;466;1771
"Duplex";"..REGION III (CENTRAL LUZON)";130280;135355;533282
"Duplex";"....Aurora";636;641;2383
"Duplex";"....Bataan";10172;10618;41175
"Duplex";"....Bulacan";48007;50233;196362
"Duplex";"....Nueva Ecija";18645;19223;73924
"Duplex";"....Pampanga *";21945;22941;94433
"Duplex";"....Tarlac";13521;13770;56065
"Duplex";"....Zambales *";7227;7334;27865
"Duplex";"....City of Angeles";5613;5875;22968
"Duplex";"....City of Olongapo";4514;4720;18107
"Duplex";"..REGION IV-A (CALABARZON)";240936;255284;981334
"Duplex";"....Batangas";32687;34470;133938
"Duplex";"....Cavite";100247;105024;408351
"Duplex";"....Laguna";57593;62945;225809
"Duplex";"....Quezon *";14116;14820;56651
"Duplex";"....Rizal";33622;35231;145361
"Duplex";"....City of Lucena";2671;2794;11224
"Duplex";"..MIMAROPA REGION";10952;11099;41359
"Duplex";"....Marinduque";525;532;1992
"Duplex";"....Occidental Mindoro";1856;1878;6849
"Duplex";"....Oriental Mindoro";3938;3994;15613
"Duplex";"....Palawan *";1522;1534;5699
"Duplex";"....Romblon";1032;1044;3951
"Duplex";"....City of Puerto Princesa";2079;2117;7255
"Duplex";"..REGION V (BICOL REGION)";22519;22859;95376
"Duplex";"....Albay";6334;6425;26419
"Duplex";"....Camarines Norte";2392;2433;9913
"Duplex";"....Camarines Sur";9335;9502;40437
"Duplex";"....Catanduanes";344;348;1390
"Duplex";"....Masbate";1441;1455;6256
"Duplex";"....Sorsogon";2673;2696;10961
"Duplex";"..REGION VI (WESTERN VISAYAS)";24970;25595;99701
"Duplex";"....Aklan";1465;1501;5558
"Duplex";"....Antique";1549;1566;6144
"Duplex";"....Capiz";2841;2886;11015
"Duplex";"....Guimaras";51;51;202
"Duplex";"....Iloilo *";5886;5989;23256
"Duplex";"....Negros Occidental *";7603;7825;30531
"Duplex";"....City of Bacolod";3144;3209;12257
"Duplex";"....City of Iloilo";2431;2568;10738
"Duplex";"..REGION VII (CENTRAL VISAYAS)";33959;35145;136281
"Duplex";"....Bohol";2588;2611;10898
"Duplex";"....Cebu *";14990;15456;60628
"Duplex";"....Negros Oriental";3412;3483;13518
"Duplex";"....Siquijor";57;60;224
"Duplex";"....City of Cebu";6214;6668;26140
"Duplex";"....City of Lapu-Lapu (Opon)";4108;4183;15327
"Duplex";"....City of Mandaue";2590;2684;9546
"Duplex";"..REGION VIII (EASTERN VISAYAS)";17453;17681;70369
"Duplex";"....Biliran";154;159;596
"Duplex";"....Eastern Samar";1224;1229;4876
"Duplex";"....Leyte *";7315;7395;28166
"Duplex";"....Northern Samar";1329;1353;5630
"Duplex";"....Samar (Western Samar)";3455;3524;14361
"Duplex";"....Southern Leyte";2691;2713;11354
"Duplex";"....City of Tacloban";1285;1308;5386
"Duplex";"..REGION IX (ZAMBOANGA PENINSULA)";13064;13604;54977
"Duplex";"....Zamboanga del Norte";2299;2341;9222
"Duplex";"....Zamboanga del Sur *";1046;1072;4474
"Duplex";"....Zamboanga Sibugay";2536;2556;10454
"Duplex";"....City of Isabela **";475;518;2551
"Duplex";"....City of Zamboanga";6708;7117;28276
"Duplex";"..REGION X (NORTHERN MINDANAO)";20740;22094;88134
"Duplex";"....Bukidnon";3777;3887;15205
"Duplex";"....Camiguin";140;145;579
"Duplex";"....Lanao del Norte *";2513;2975;13148
"Duplex";"....Misamis Occidental";2385;2462;9780
"Duplex";"....Misamis Oriental *";3919;4088;16092
"Duplex";"....City of Cagayan de Oro";4642;5002;19050
"Duplex";"....City of Iligan";3364;3535;14280
"Duplex";"..REGION XI (DAVAO REGION)";26721;27640;104467
"Duplex";"....Davao de Oro (Compostela Valley)";9957;10033;40056
"Duplex";"....Davao del Norte";4401;4553;17614
"Duplex";"....Davao del Sur *";1383;1447;5162
"Duplex";"....Davao Occidental";22;23;94
"Duplex";"....Davao Oriental";2561;2630;9884
"Duplex";"....City of Davao";8397;8954;31657
"Duplex";"..REGION XII (SOCCSKSARGEN)";10261;10437;38341
"Duplex";"....Cotabato (North Cotabato)";2581;2625;9919
"Duplex";"....Sarangani";1118;1131;4365
"Duplex";"....South Cotabato *";1722;1745;6137
"Duplex";"....Sultan Kudarat";1466;1482;5689
"Duplex";"....City of General Santos (Dadiangas)";3374;3454;12231
"Duplex";"..REGION XIII (CARAGA)";8387;8645;33482
"Duplex";"....Agusan del Norte *";1610;1647;6463
"Duplex";"....Agusan del Sur";1341;1373;5253
"Duplex";"....Dinagat Islands";164;165;682
"Duplex";"....Surigao del Norte";1504;1565;6075
"Duplex";"....Surigao del Sur";2175;2258;8731
"Duplex";"....City of Butuan";1593;1637;6278
"Duplex";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";4984;5903;35001
"Duplex";"....Basilan";180;194;1029
"Duplex";"....Lanao del Sur";1701;2292;14964
"Duplex";"....Maguindanao";1531;1734;9243
"Duplex";"....Sulu";1288;1385;8463
"Duplex";"....Tawi-Tawi";76;81;408
"Duplex";"....Eight (8) Area Clusters ***";208;217;894
"Apartment/accessoria/rowhouse";"PHILIPPINES";1628258;1713666;6234274
"Apartment/accessoria/rowhouse";"..NATIONAL CAPITAL REGION (NCR)";482051;506241;1802284
"Apartment/accessoria/rowhouse";"....City of Manila";40235;41922;151080
"Apartment/accessoria/rowhouse";"....City of Mandaluyong";8311;8720;29078
"Apartment/accessoria/rowhouse";"....City of Marikina";12850;13256;53265
"Apartment/accessoria/rowhouse";"....City of Pasig";39568;41687;144315
"Apartment/accessoria/rowhouse";"....Quezon City";94328;98250;367661
"Apartment/accessoria/rowhouse";"....City of San Juan";4000;4234;16409
"Apartment/accessoria/rowhouse";"....City of Caloocan";48933;51129;195467
"Apartment/accessoria/rowhouse";"....City of Malabon";6139;6442;24899
"Apartment/accessoria/rowhouse";"....City of Navotas";3511;3849;15057
"Apartment/accessoria/rowhouse";"....City of Valenzuela";46291;48998;173205
"Apartment/accessoria/rowhouse";"....City of Las Piñas";17511;18448;64651
