"Number of Establishments  Employing 20 or More Workers by Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0021B3E9020.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Learning about ECP";"Major Industry Group";"2017"
"Facebook Social Media";"..Construction";110
"Facebook Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1015
"Facebook Social Media";"..Transportation and Storage";144
"Facebook Social Media";"..Accommodation and Food Service Activities";628
"Facebook Social Media";"..Information and Communication";77
"Facebook Social Media";"..Financial and Insurance Activities";123
"Facebook Social Media";"..Real Estate Activities";57
"Facebook Social Media";"..Professional, Scientific and Technical Activities";109
"Facebook Social Media";"..Administrative and Support Service Activities";224
"Facebook Social Media";"..Education Except Public Education";483
"Facebook Social Media";"..Human Health and Social Work Activities Except Public Health Activities";148
"Facebook Social Media";"..Arts, Entertainment and  Recreation";29
"Facebook Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";46
"Twitter Social Media";"ALL INDUSTRIES";198
"Twitter Social Media";"..Agriculture, Forestry and Fishing";..
"Twitter Social Media";"..Mining and Quarrying";..
"Twitter Social Media";"..Manufacturing";27
"Twitter Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Twitter Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Twitter Social Media";"..Construction";6
"Twitter Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";46
"Twitter Social Media";"..Transportation and Storage";13
"Twitter Social Media";"..Accommodation and Food Service Activities";33
"Twitter Social Media";"..Information and Communication";5
"Twitter Social Media";"..Financial and Insurance Activities";3
"Twitter Social Media";"..Real Estate Activities";5
"Twitter Social Media";"..Professional, Scientific and Technical Activities";3
"Twitter Social Media";"..Administrative and Support Service Activities";22
"Twitter Social Media";"..Education Except Public Education";11
"Twitter Social Media";"..Human Health and Social Work Activities Except Public Health Activities";19
"Twitter Social Media";"..Arts, Entertainment and  Recreation";..
"Twitter Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";4
"Email/Chat";"ALL INDUSTRIES";1386
"Email/Chat";"..Agriculture, Forestry and Fishing";46
"Email/Chat";"..Mining and Quarrying";7
"Email/Chat";"..Manufacturing";275
"Email/Chat";"..Electricity, Gas, Steam and Air Conditioning Supply";6
"Email/Chat";"..Water Supply; Sewerage, Waste Management and Remediation Activities";5
"Email/Chat";"..Construction";60
"Email/Chat";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";259
"Email/Chat";"..Transportation and Storage";41
"Email/Chat";"..Accommodation and Food Service Activities";199
"Email/Chat";"..Information and Communication";28
