"Percent Distribution of Bonuses and Gratuities in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__LCE/2001B3GL030.px/table/tableViewLayout1/?rxid=f1d2d894-c545-48b7-9fb9-f7e54e7069d3"
"Major Industry Group";"Bonuses and Gratuities";"2013";"2019"
"..Education Except Public Education";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";4.9;4.8
"..Human Health and Social Work Activities";"Total Amount";1484185;4130478
"..Human Health and Social Work Activities";"Percent";100.0;100.0
"..Human Health and Social Work Activities";"..Year-End, Seasonal and Other One-Time Bonuses";93.2;95.6
"..Human Health and Social Work Activities";"..Profit Sharing Bonuses";0.6;0.2
"..Human Health and Social Work Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";6.2;4.1
"..Arts, Entertainment and Recreation";"Total Amount";798302;2560769
"..Arts, Entertainment and Recreation";"Percent";100.0;100.0
"..Arts, Entertainment and Recreation";"..Year-End, Seasonal and Other One-Time Bonuses";97.9;99.8
"..Arts, Entertainment and Recreation";"..Profit Sharing Bonuses";0.0;0.0
"..Arts, Entertainment and Recreation";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2.2;0.2
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Amount";356183;464997
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Percent";100.0;100.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Year-End, Seasonal and Other One-Time Bonuses";84.6;100.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Profit Sharing Bonuses";7.3;0.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";8.0;0.0
