"Number of Households by Type of Building, Tenure Status of the Housing Unit/Lot, and Province/Highly Urbanized City: Philippines, 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0061A6DTSH0.px/table/tableViewLayout1/?rxid=1e078637-ce19-499c-bf41-a4d1a933957b"
"Tenure Status of the Housing Unit/Lot";"Geographic Location";"All Types of Building";"Single House";"Duplex";"Apartment/ accessoria/rowhouse";"Condominium/ condotel";"Other multi-unit residential";"Commercial/ industrial/agricultural";"Institutional living quarter";"Other types of building";"Not Reported"
"Own house rent lot";"..REGION II (CAGAYAN VALLEY)";24413;23289;709;167;0;219;27;2;0;0
"Own house rent lot";"....Batanes";119;119;0;0;0;0;0;0;0;0
"Own house rent lot";"....Cagayan";9669;9199;286;79;0;96;9;0;0;0
"Own house rent lot";"....Isabela";12595;12051;365;57;0;108;13;1;0;0
"Own house rent lot";"....Nueva Vizcaya";1529;1436;47;30;0;12;3;1;0;0
"Own house rent lot";"....Quirino";501;484;11;1;0;3;2;0;0;0
"Own house rent lot";"..REGION III (CENTRAL LUZON)";97399;82815;4459;7849;0;2144;124;8;0;0
"Own house rent lot";"....Aurora";809;798;4;1;0;5;1;0;0;0
"Own house rent lot";"....Bataan";4861;4380;212;209;0;55;5;0;0;0
"Own house rent lot";"....Bulacan";35264;26251;1871;6305;0;779;54;4;0;0
"Own house rent lot";"....Nueva Ecija";25386;23897;1011;172;0;280;24;2;0;0
"Own house rent lot";"....Pampanga *";13902;12183;617;414;0;666;22;0;0;0
"Own house rent lot";"....Tarlac";8536;7686;365;331;0;148;4;2;0;0
"Own house rent lot";"....Zambales *";3480;3220;149;67;0;42;2;0;0;0
"Own house rent lot";"....City of Angeles";4046;3536;176;217;0;107;10;0;0;0
"Own house rent lot";"....City of Olongapo";1115;864;54;133;0;62;2;0;0;0
"Own house rent lot";"..REGION IV-A (CALABARZON)";144394;105725;8522;26665;0;3340;134;5;0;3
"Own house rent lot";"....Batangas";15802;13316;748;1482;0;239;14;1;0;2
"Own house rent lot";"....Cavite";36067;20425;3219;10841;0;1544;35;2;0;1
"Own house rent lot";"....Laguna";35322;22934;2537;8984;0;844;22;1;0;0
"Own house rent lot";"....Quezon *";23260;21955;788;308;0;182;27;0;0;0
"Own house rent lot";"....Rizal";30235;23575;1113;4999;0;511;36;1;0;0
"Own house rent lot";"....City of Lucena";3708;3520;117;51;0;20;0;0;0;0
"Own house rent lot";"..MIMAROPA REGION";20616;20048;299;150;0;80;35;4;0;0
"Own house rent lot";"....Marinduque";767;752;14;0;0;0;1;0;0;0
"Own house rent lot";"....Occidental Mindoro";2696;2628;44;18;0;4;0;2;0;0
"Own house rent lot";"....Oriental Mindoro";4268;4067;108;72;0;14;5;2;0;0
"Own house rent lot";"....Palawan *";8428;8310;55;21;0;25;17;0;0;0
"Own house rent lot";"....Romblon";1201;1174;18;2;0;6;1;0;0;0
"Own house rent lot";"....City of Puerto Princesa";3256;3117;60;37;0;31;11;0;0;0
"Own house rent lot";"..REGION V (BICOL REGION)";56685;55056;989;259;0;284;93;4;0;0
"Own house rent lot";"....Albay";10375;10079;191;29;0;66;8;2;0;0
"Own house rent lot";"....Camarines Norte";7472;7253;129;49;0;24;17;0;0;0
"Own house rent lot";"....Camarines Sur";18870;18259;337;138;0;88;47;1;0;0
"Own house rent lot";"....Catanduanes";1082;1073;4;0;0;1;4;0;0;0
"Own house rent lot";"....Masbate";10180;10018;104;14;0;32;11;1;0;0
"Own house rent lot";"....Sorsogon";8706;8374;224;29;0;73;6;0;0;0
"Own house rent lot";"..REGION VI (WESTERN VISAYAS)";102029;99176;1527;802;0;396;124;4;0;0
"Own house rent lot";"....Aklan";8933;8741;96;44;0;34;17;1;0;0
"Own house rent lot";"....Antique";3966;3880;56;12;0;15;3;0;0;0
"Own house rent lot";"....Capiz";16132;15787;242;61;0;24;17;1;0;0
"Own house rent lot";"....Guimaras";1083;1077;2;1;0;0;3;0;0;0
"Own house rent lot";"....Iloilo *";33401;32680;404;146;0;143;27;1;0;0
"Own house rent lot";"....Negros Occidental *";26046;25536;267;164;0;65;14;0;0;0
"Own house rent lot";"....City of Bacolod";6010;5528;117;306;0;47;12;0;0;0
"Own house rent lot";"....City of Iloilo";6458;5947;343;68;0;68;31;1;0;0
"Own house rent lot";"..REGION VII (CENTRAL VISAYAS)";103259;98387;1954;1547;0;1212;147;12;0;0
"Own house rent lot";"....Bohol";7994;7842;92;18;0;32;10;0;0;0
"Own house rent lot";"....Cebu *";46292;44503;772;651;0;331;32;3;0;0
"Own house rent lot";"....Negros Oriental";16327;16030;179;51;0;42;25;0;0;0
"Own house rent lot";"....Siquijor";307;304;1;0;0;0;2;0;0;0
"Own house rent lot";"....City of Cebu";19410;18006;522;371;0;439;63;9;0;0
"Own house rent lot";"....City of Lapu-Lapu (Opon)";5286;4674;169;218;0;215;10;0;0;0
"Own house rent lot";"....City of Mandaue";7643;7028;219;238;0;153;5;0;0;0
"Own house rent lot";"..REGION VIII (EASTERN VISAYAS)";72353;70200;1081;674;0;350;41;7;0;0
"Own house rent lot";"....Biliran";1826;1817;3;4;0;0;2;0;0;0
"Own house rent lot";"....Eastern Samar";3292;3252;22;7;0;9;2;0;0;0
"Own house rent lot";"....Leyte *";27577;26358;478;489;0;238;12;2;0;0
"Own house rent lot";"....Northern Samar";9728;9626;73;11;0;11;4;3;0;0
"Own house rent lot";"....Samar (Western Samar)";18401;17944;363;32;0;57;3;2;0;0
"Own house rent lot";"....Southern Leyte";7762;7600;106;19;0;21;16;0;0;0
"Own house rent lot";"....City of Tacloban";3767;3603;36;112;0;14;2;0;0;0
"Own house rent lot";"..REGION IX (ZAMBOANGA PENINSULA)";47992;46488;856;214;0;373;58;3;0;0
"Own house rent lot";"....Zamboanga del Norte";10398;10242;91;37;0;18;9;1;0;0
"Own house rent lot";"....Zamboanga del Sur *";14437;14330;61;5;0;34;7;0;0;0
"Own house rent lot";"....Zamboanga Sibugay";5690;5583;62;0;0;17;28;0;0;0
"Own house rent lot";"....City of Isabela **";2525;2393;90;2;0;39;1;0;0;0
"Own house rent lot";"....City of Zamboanga";14942;13940;552;170;0;265;13;2;0;0
"Own house rent lot";"..REGION X (NORTHERN MINDANAO)";47294;45250;1007;353;0;579;100;5;0;0
"Own house rent lot";"....Bukidnon";10044;9806;123;18;0;51;43;3;0;0
"Own house rent lot";"....Camiguin";295;294;1;0;0;0;0;0;0;0
"Own house rent lot";"....Lanao del Norte *";7761;7602;120;4;0;20;14;1;0;0
"Own house rent lot";"....Misamis Occidental";6239;6046;100;44;0;47;2;0;0;0
"Own house rent lot";"....Misamis Oriental *";7590;7321;144;40;0;67;18;0;0;0
"Own house rent lot";"....City of Cagayan de Oro";7353;6883;169;105;0;186;9;1;0;0
"Own house rent lot";"....City of Iligan";8012;7298;350;142;0;208;14;0;0;0
"Own house rent lot";"..REGION XI (DAVAO REGION)";55623;53421;1088;312;0;602;196;4;0;0
"Own house rent lot";"....Davao de Oro (Compostela Valley)";8240;7801;287;15;0;92;45;0;0;0
"Own house rent lot";"....Davao del Norte";13196;12638;288;78;0;163;28;1;0;0
"Own house rent lot";"....Davao del Sur *";5551;5405;61;42;0;32;11;0;0;0
"Own house rent lot";"....Davao Occidental";3190;3183;5;1;0;0;1;0;0;0
"Own house rent lot";"....Davao Oriental";9211;8970;179;6;0;54;2;0;0;0
"Own house rent lot";"....City of Davao";16235;15424;268;170;0;261;109;3;0;0
"Own house rent lot";"..REGION XII (SOCCSKSARGEN)";29536;28875;282;213;0;77;86;3;0;0
"Own house rent lot";"....Cotabato (North Cotabato)";8074;7935;69;15;0;16;38;1;0;0
"Own house rent lot";"....Sarangani";3769;3729;32;1;0;3;4;0;0;0
"Own house rent lot";"....South Cotabato *";6642;6504;50;54;0;15;19;0;0;0
"Own house rent lot";"....Sultan Kudarat";6173;6027;75;24;0;25;20;2;0;0
"Own house rent lot";"....City of General Santos (Dadiangas)";4878;4680;56;119;0;18;5;0;0;0
"Own house rent lot";"..REGION XIII (CARAGA)";40009;38930;710;121;0;198;46;4;0;0
"Own house rent lot";"....Agusan del Norte *";5437;5303;103;16;0;14;0;1;0;0
"Own house rent lot";"....Agusan del Sur";6790;6697;50;14;0;20;9;0;0;0
"Own house rent lot";"....Dinagat Islands";782;776;5;0;0;0;1;0;0;0
"Own house rent lot";"....Surigao del Norte";5561;5429;82;34;0;11;5;0;0;0
"Own house rent lot";"....Surigao del Sur";15969;15400;404;10;0;134;19;2;0;0
"Own house rent lot";"....City of Butuan";5470;5325;66;47;0;19;12;1;0;0
"Own house rent lot";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";33422;33002;191;35;0;158;26;10;0;0
"Own house rent lot";"....Basilan";2602;2588;10;0;0;4;0;0;0;0
"Own house rent lot";"....Lanao del Sur";3238;3173;37;4;0;24;0;0;0;0
"Own house rent lot";"....Maguindanao";13930;13641;114;31;0;119;23;2;0;0
"Own house rent lot";"....Sulu";10518;10475;26;0;0;7;3;7;0;0
"Own house rent lot";"....Tawi-Tawi";2278;2277;0;0;0;0;0;1;0;0
"Own house rent lot";"....Eight (8) Area Clusters ***";856;848;4;0;0;4;0;0;0;0
"Own house rent-free lot with consent of owner";"PHILIPPINES /a";4901882;4721391;87555;51556;0;39116;2017;236;0;11
"Own house rent-free lot with consent of owner";"..NATIONAL CAPITAL REGION (NCR)";192545;156596;6361;14884;0;14313;358;32;0;1
"Own house rent-free lot with consent of owner";"....City of Manila";24599;17054;652;1218;0;5617;47;11;0;0
"Own house rent-free lot with consent of owner";"....City of Mandaluyong";7082;5475;296;181;0;1115;15;0;0;0
"Own house rent-free lot with consent of owner";"....City of Marikina";2593;2036;132;348;0;72;5;0;0;0
"Own house rent-free lot with consent of owner";"....City of Pasig";6791;4519;448;1082;0;734;6;2;0;0
"Own house rent-free lot with consent of owner";"....Quezon City";64710;57671;1489;3509;0;1942;89;9;0;1
"Own house rent-free lot with consent of owner";"....City of San Juan";886;664;23;56;0;139;4;0;0;0
"Own house rent-free lot with consent of owner";"....City of Caloocan";17736;14963;836;1371;0;549;15;2;0;0
"Own house rent-free lot with consent of owner";"....City of Malabon";7590;7281;95;141;0;50;22;1;0;0
"Own house rent-free lot with consent of owner";"....City of Navotas";4354;3854;77;122;0;255;46;0;0;0
"Own house rent-free lot with consent of owner";"....City of Valenzuela";7010;6031;206;575;0;153;45;0;0;0
"Own house rent-free lot with consent of owner";"....City of Las Piñas";7467;6467;280;451;0;253;16;0;0;0
"Own house rent-free lot with consent of owner";"....City of Makati";3716;2039;162;853;0;642;17;3;0;0
"Own house rent-free lot with consent of owner";"....City of Muntinlupa";10411;8560;356;1252;0;242;1;0;0;0
"Own house rent-free lot with consent of owner";"....City of Parañaque";10820;9200;327;755;0;520;18;0;0;0
"Own house rent-free lot with consent of owner";"....Pasay City";5534;3865;278;1013;0;374;4;0;0;0
"Own house rent-free lot with consent of owner";"....City of Taguig";10991;6716;691;1923;0;1649;8;4;0;0
"Own house rent-free lot with consent of owner";"....Pateros";255;201;13;34;0;7;0;0;0;0
"Own house rent-free lot with consent of owner";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";23821;23506;78;188;0;34;15;0;0;0
"Own house rent-free lot with consent of owner";"....Abra";4982;4940;32;2;0;8;0;0;0;0
"Own house rent-free lot with consent of owner";"....Apayao";5812;5793;9;2;0;4;4;0;0;0
"Own house rent-free lot with consent of owner";"....Benguet *";4139;4086;11;41;0;0;1;0;0;0
"Own house rent-free lot with consent of owner";"....Ifugao";2679;2675;4;0;0;0;0;0;0;0
"Own house rent-free lot with consent of owner";"....Kalinga";2977;2967;7;1;0;2;0;0;0;0
"Own house rent-free lot with consent of owner";"....Mountain Province";650;646;1;2;0;1;0;0;0;0
"Own house rent-free lot with consent of owner";"....City of Baguio";2582;2399;14;140;0;19;10;0;0;0
"Own house rent-free lot with consent of owner";"..REGION I (ILOCOS REGION)";208378;201332;5167;518;0;1272;80;7;0;2
"Own house rent-free lot with consent of owner";"....Ilocos Norte";17715;16951;585;55;0;110;14;0;0;0
"Own house rent-free lot with consent of owner";"....Ilocos Sur";20685;20167;401;38;0;68;11;0;0;0
"Own house rent-free lot with consent of owner";"....La Union";33961;33012;650;161;0;128;6;4;0;0
"Own house rent-free lot with consent of owner";"....Pangasinan";136017;131202;3531;264;0;966;49;3;0;2
"Own house rent-free lot with consent of owner";"..REGION II (CAGAYAN VALLEY)";118495;114517;2945;351;0;623;57;2;0;0
"Own house rent-free lot with consent of owner";"....Batanes";290;289;0;0;0;0;1;0;0;0
"Own house rent-free lot with consent of owner";"....Cagayan";47631;46475;953;79;0;111;11;2;0;0
"Own house rent-free lot with consent of owner";"....Isabela";50903;48715;1567;217;0;375;29;0;0;0
"Own house rent-free lot with consent of owner";"....Nueva Vizcaya";15336;14765;379;54;0;126;12;0;0;0
"Own house rent-free lot with consent of owner";"....Quirino";4335;4273;46;1;0;11;4;0;0;0
"Own house rent-free lot with consent of owner";"..REGION III (CENTRAL LUZON)";316328;290642;13145;7189;0;5126;204;21;0;1
"Own house rent-free lot with consent of owner";"....Aurora";13562;13372;144;30;0;12;4;0;0;0
"Own house rent-free lot with consent of owner";"....Bataan";28598;26183;1340;660;0;403;12;0;0;0
"Own house rent-free lot with consent of owner";"....Bulacan";61108;52181;3344;4164;0;1330;74;14;0;1
"Own house rent-free lot with consent of owner";"....Nueva Ecija";86857;82379;3041;358;0;1032;44;3;0;0
"Own house rent-free lot with consent of owner";"....Pampanga *";32618;29679;1380;755;0;781;19;4;0;0
"Own house rent-free lot with consent of owner";"....Tarlac";55477;51613;2453;424;0;951;36;0;0;0
"Own house rent-free lot with consent of owner";"....Zambales *";27123;25896;845;129;0;248;5;0;0;0
"Own house rent-free lot with consent of owner";"....City of Angeles";7694;6749;430;304;0;205;6;0;0;0
"Own house rent-free lot with consent of owner";"....City of Olongapo";3291;2590;168;365;0;164;4;0;0;0
"Own house rent-free lot with consent of owner";"..REGION IV-A (CALABARZON)";458271;413508;20240;19241;0;5002;256;24;0;0
"Own house rent-free lot with consent of owner";"....Batangas";96120;89177;4162;1665;0;1070;43;3;0;0
"Own house rent-free lot with consent of owner";"....Cavite";58314;44212;5421;7381;0;1233;62;5;0;0
"Own house rent-free lot with consent of owner";"....Laguna";72201;60311;4862;5967;0;1017;39;5;0;0
"Own house rent-free lot with consent of owner";"....Quezon *";158283;153881;3027;635;0;685;49;6;0;0
"Own house rent-free lot with consent of owner";"....Rizal";59468;52691;2386;3445;0;878;63;5;0;0
"Own house rent-free lot with consent of owner";"....City of Lucena";13885;13236;382;148;0;119;0;0;0;0
"Own house rent-free lot with consent of owner";"..MIMAROPA REGION";192721;190125;1718;430;0;369;71;8;0;0
"Own house rent-free lot with consent of owner";"....Marinduque";17185;17046;109;1;0;26;3;0;0;0
"Own house rent-free lot with consent of owner";"....Occidental Mindoro";23224;22852;252;39;0;71;8;2;0;0
"Own house rent-free lot with consent of owner";"....Oriental Mindoro";61653;60500;801;227;0;95;29;1;0;0
"Own house rent-free lot with consent of owner";"....Palawan *";56401;56123;149;58;0;51;16;4;0;0
"Own house rent-free lot with consent of owner";"....Romblon";23084;22771;223;44;0;40;6;0;0;0
"Own house rent-free lot with consent of owner";"....City of Puerto Princesa";11174;10833;184;61;0;86;9;1;0;0
"Own house rent-free lot with consent of owner";"..REGION V (BICOL REGION)";447395;440019;5353;721;0;1185;106;11;0;0
"Own house rent-free lot with consent of owner";"....Albay";92803;90934;1391;111;0;333;26;8;0;0
"Own house rent-free lot with consent of owner";"....Camarines Norte";45084;44391;464;117;0;110;2;0;0;0
"Own house rent-free lot with consent of owner";"....Camarines Sur";137151;134025;2222;342;0;522;39;1;0;0
"Own house rent-free lot with consent of owner";"....Catanduanes";13514;13457;45;2;0;8;1;1;0;0
"Own house rent-free lot with consent of owner";"....Masbate";85931;85412;387;37;0;80;14;1;0;0
"Own house rent-free lot with consent of owner";"....Sorsogon";72912;71800;844;112;0;132;24;0;0;0
"Own house rent-free lot with consent of owner";"..REGION VI (WESTERN VISAYAS)";748187;734310;8754;2731;0;2171;191;30;0;0
"Own house rent-free lot with consent of owner";"....Aklan";35587;35213;293;34;0;35;12;0;0;0
"Own house rent-free lot with consent of owner";"....Antique";41707;41284;316;46;0;50;10;1;0;0
"Own house rent-free lot with consent of owner";"....Capiz";86182;84355;1060;576;0;177;13;1;0;0
"Own house rent-free lot with consent of owner";"....Guimaras";16738;16707;21;0;0;2;7;1;0;0
"Own house rent-free lot with consent of owner";"....Iloilo *";203748;200442;2051;778;0;422;46;9;0;0
"Own house rent-free lot with consent of owner";"....Negros Occidental *";307366;301428;3836;942;0;1096;52;12;0;0
"Own house rent-free lot with consent of owner";"....City of Bacolod";30972;29924;641;182;0;199;23;3;0;0
"Own house rent-free lot with consent of owner";"....City of Iloilo";25887;24957;536;173;0;190;28;3;0;0
"Own house rent-free lot with consent of owner";"..REGION VII (CENTRAL VISAYAS)";395277;385802;5281;1509;0;2560;117;8;0;0
"Own house rent-free lot with consent of owner";"....Bohol";51549;51127;290;26;0;82;24;0;0;0
"Own house rent-free lot with consent of owner";"....Cebu *";187378;182624;3001;577;0;1127;43;6;0;0
"Own house rent-free lot with consent of owner";"....Negros Oriental";96894;95835;673;115;0;252;17;2;0;0
"Own house rent-free lot with consent of owner";"....Siquijor";2952;2947;5;0;0;0;0;0;0;0
"Own house rent-free lot with consent of owner";"....City of Cebu";28391;26972;607;293;0;506;13;0;0;0
"Own house rent-free lot with consent of owner";"....City of Lapu-Lapu (Opon)";17787;16453;542;378;0;406;8;0;0;0
"Own house rent-free lot with consent of owner";"....City of Mandaue";10326;9844;163;120;0;187;12;0;0;0
"Own house rent-free lot with consent of owner";"..REGION VIII (EASTERN VISAYAS)";365585;358530;4501;1531;0;959;59;5;0;0
"Own house rent-free lot with consent of owner";"....Biliran";15118;14999;32;79;0;5;3;0;0;0
"Own house rent-free lot with consent of owner";"....Eastern Samar";27610;27191;288;88;0;40;0;3;0;0
"Own house rent-free lot with consent of owner";"....Leyte *";161178;158525;1860;444;0;326;21;2;0;0
"Own house rent-free lot with consent of owner";"....Northern Samar";45073;44593;364;17;0;89;10;0;0;0
"Own house rent-free lot with consent of owner";"....Samar (Western Samar)";71987;70346;1139;161;0;333;8;0;0;0
"Own house rent-free lot with consent of owner";"....Southern Leyte";29720;29001;600;24;0;85;10;0;0;0
"Own house rent-free lot with consent of owner";"....City of Tacloban";14899;13875;218;718;0;81;7;0;0;0
"Own house rent-free lot with consent of owner";"..REGION IX (ZAMBOANGA PENINSULA)";273360;269317;2597;401;0;946;83;16;0;0
"Own house rent-free lot with consent of owner";"....Zamboanga del Norte";79280;78673;427;125;0;38;13;4;0;0
"Own house rent-free lot with consent of owner";"....Zamboanga del Sur *";72346;72019;210;20;0;78;12;7;0;0
"Own house rent-free lot with consent of owner";"....Zamboanga Sibugay";61665;60586;798;20;0;221;38;2;0;0
"Own house rent-free lot with consent of owner";"....City of Isabela **";5401;5211;69;82;0;35;4;0;0;0
"Own house rent-free lot with consent of owner";"....City of Zamboanga";54668;52828;1093;154;0;574;16;3;0;0
"Own house rent-free lot with consent of owner";"..REGION X (NORTHERN MINDANAO)";300774;293558;4467;656;0;1940;139;12;0;2
"Own house rent-free lot with consent of owner";"....Bukidnon";63754;62774;621;51;0;267;39;2;0;0
"Own house rent-free lot with consent of owner";"....Camiguin";6797;6752;38;4;0;2;1;0;0;0
"Own house rent-free lot with consent of owner";"....Lanao del Norte *";70050;68971;854;42;0;158;21;4;0;0
"Own house rent-free lot with consent of owner";"....Misamis Occidental";46726;45886;605;58;0;159;16;2;0;0
"Own house rent-free lot with consent of owner";"....Misamis Oriental *";64274;62804;947;75;0;419;25;2;0;2
"Own house rent-free lot with consent of owner";"....City of Cagayan de Oro";26881;25790;404;133;0;525;27;2;0;0
"Own house rent-free lot with consent of owner";"....City of Iligan";22292;20581;998;293;0;410;10;0;0;0
"Own house rent-free lot with consent of owner";"..REGION XI (DAVAO REGION)";237245;231953;2986;598;0;1561;107;37;0;3
"Own house rent-free lot with consent of owner";"....Davao de Oro (Compostela Valley)";42361;41191;783;71;0;281;19;15;0;1
"Own house rent-free lot with consent of owner";"....Davao del Norte";41906;40912;591;118;0;257;24;4;0;0
"Own house rent-free lot with consent of owner";"....Davao del Sur *";35917;35574;228;38;0;63;9;5;0;0
"Own house rent-free lot with consent of owner";"....Davao Occidental";30414;30402;4;2;0;1;4;1;0;0
"Own house rent-free lot with consent of owner";"....Davao Oriental";42873;42279;465;15;0;100;5;7;0;2
"Own house rent-free lot with consent of owner";"....City of Davao";43774;41595;915;354;0;859;46;5;0;0
"Own house rent-free lot with consent of owner";"..REGION XII (SOCCSKSARGEN)";217072;214857;1442;340;0;363;66;2;0;2
"Own house rent-free lot with consent of owner";"....Cotabato (North Cotabato)";58286;57701;416;27;0;119;22;1;0;0
"Own house rent-free lot with consent of owner";"....Sarangani";49993;49560;332;27;0;67;6;1;0;0
"Own house rent-free lot with consent of owner";"....South Cotabato *";33827;33560;152;62;0;39;14;0;0;0
"Own house rent-free lot with consent of owner";"....Sultan Kudarat";51686;51329;221;40;0;76;18;0;0;2
"Own house rent-free lot with consent of owner";"....City of General Santos (Dadiangas)";23280;22707;321;184;0;62;6;0;0;0
"Own house rent-free lot with consent of owner";"..REGION XIII (CARAGA)";200439;197915;1789;203;0;472;53;7;0;0
"Own house rent-free lot with consent of owner";"....Agusan del Norte *";32163;31602;419;29;0;104;9;0;0;0
"Own house rent-free lot with consent of owner";"....Agusan del Sur";55607;55096;374;27;0;95;11;4;0;0
"Own house rent-free lot with consent of owner";"....Dinagat Islands";5251;5229;18;0;0;2;2;0;0;0
"Own house rent-free lot with consent of owner";"....Surigao del Norte";34912;34549;251;58;0;49;5;0;0;0
"Own house rent-free lot with consent of owner";"....Surigao del Sur";48533;47923;439;21;0;141;9;0;0;0
"Own house rent-free lot with consent of owner";"....City of Butuan";23973;23516;288;68;0;81;17;3;0;0
"Own house rent-free lot with consent of owner";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";205989;204904;731;65;0;220;55;14;0;0
"Own house rent-free lot with consent of owner";"....Basilan";27378;27334;30;3;0;10;1;0;0;0
"Own house rent-free lot with consent of owner";"....Lanao del Sur";22762;22528;154;15;0;58;4;3;0;0
"Own house rent-free lot with consent of owner";"....Maguindanao";81447;80932;342;43;0;82;42;6;0;0
"Own house rent-free lot with consent of owner";"....Sulu";47104;46875;177;4;0;39;5;4;0;0
"Own house rent-free lot with consent of owner";"....Tawi-Tawi";17315;17286;9;0;0;17;2;1;0;0
"Own house rent-free lot with consent of owner";"....Eight (8) Area Clusters ***";9983;9949;19;0;0;14;1;0;0;0
"Own house rent-free lot without consent of owner";"PHILIPPINES /a";542363;505598;15053;11581;0;9779;319;27;0;6
"Own house rent-free lot without consent of owner";"..NATIONAL CAPITAL REGION (NCR)";146523;131938;3708;5188;0;5590;89;6;0;4
"Own house rent-free lot without consent of owner";"....City of Manila";14047;11245;334;433;0;2023;10;0;0;2
"Own house rent-free lot without consent of owner";"....City of Mandaluyong";2744;2529;22;46;0;147;0;0;0;0
"Own house rent-free lot without consent of owner";"....City of Marikina";4542;4061;213;172;0;92;4;0;0;0
"Own house rent-free lot without consent of owner";"....City of Pasig";1097;778;75;165;0;79;0;0;0;0
"Own house rent-free lot without consent of owner";"....Quezon City";77567;72063;1642;1917;0;1919;22;2;0;2
"Own house rent-free lot without consent of owner";"....City of San Juan";970;798;17;13;0;141;1;0;0;0
"Own house rent-free lot without consent of owner";"....City of Caloocan";9862;8875;380;367;0;227;11;2;0;0
"Own house rent-free lot without consent of owner";"....City of Malabon";10102;9902;84;58;0;56;2;0;0;0
"Own house rent-free lot without consent of owner";"....City of Navotas";2055;1940;50;27;0;38;0;0;0;0
"Own house rent-free lot without consent of owner";"....City of Valenzuela";2481;2211;42;182;0;23;23;0;0;0
"Own house rent-free lot without consent of owner";"....City of Las Piñas";3997;3476;193;257;0;69;0;2;0;0
"Own house rent-free lot without consent of owner";"....City of Makati";1954;1489;72;251;0;136;6;0;0;0
"Own house rent-free lot without consent of owner";"....City of Muntinlupa";4393;3736;174;412;0;69;2;0;0;0
"Own house rent-free lot without consent of owner";"....City of Parañaque";7387;6506;202;284;0;387;8;0;0;0
"Own house rent-free lot without consent of owner";"....Pasay City";2056;1463;129;412;0;52;0;0;0;0
"Own house rent-free lot without consent of owner";"....City of Taguig";1215;821;76;190;0;128;0;0;0;0
"Own house rent-free lot without consent of owner";"....Pateros";54;45;3;2;0;4;0;0;0;0
"Own house rent-free lot without consent of owner";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";2392;2362;8;19;0;0;3;0;0;0
"Own house rent-free lot without consent of owner";"....Abra";316;310;6;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Apayao";260;259;1;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Benguet *";459;453;0;5;0;0;1;0;0;0
"Own house rent-free lot without consent of owner";"....Ifugao";320;320;0;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Kalinga";510;510;0;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Mountain Province";54;54;0;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....City of Baguio";473;456;1;14;0;0;2;0;0;0
"Own house rent-free lot without consent of owner";"..REGION I (ILOCOS REGION)";13059;12591;345;31;0;87;5;0;0;0
"Own house rent-free lot without consent of owner";"....Ilocos Norte";760;714;37;2;0;7;0;0;0;0
"Own house rent-free lot without consent of owner";"....Ilocos Sur";857;834;18;1;0;4;0;0;0;0
"Own house rent-free lot without consent of owner";"....La Union";2050;1967;53;13;0;17;0;0;0;0
"Own house rent-free lot without consent of owner";"....Pangasinan";9392;9076;237;15;0;59;5;0;0;0
"Own house rent-free lot without consent of owner";"..REGION II (CAGAYAN VALLEY)";8563;8296;178;32;0;51;6;0;0;0
"Own house rent-free lot without consent of owner";"....Batanes";17;17;0;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Cagayan";2502;2429;58;9;0;4;2;0;0;0
"Own house rent-free lot without consent of owner";"....Isabela";4410;4273;84;15;0;36;2;0;0;0
"Own house rent-free lot without consent of owner";"....Nueva Vizcaya";1149;1099;31;8;0;11;0;0;0;0
"Own house rent-free lot without consent of owner";"....Quirino";485;478;5;0;0;0;2;0;0;0
"Own house rent-free lot without consent of owner";"..REGION III (CENTRAL LUZON)";40880;37421;1598;1222;0;601;33;4;0;1
"Own house rent-free lot without consent of owner";"....Aurora";924;899;15;3;0;6;1;0;0;0
"Own house rent-free lot without consent of owner";"....Bataan";5229;4818;254;88;0;63;6;0;0;0
"Own house rent-free lot without consent of owner";"....Bulacan";10924;9672;375;743;0;121;10;2;0;1
"Own house rent-free lot without consent of owner";"....Nueva Ecija";6946;6535;269;50;0;87;4;1;0;0
"Own house rent-free lot without consent of owner";"....Pampanga *";6444;5908;307;73;0;150;5;1;0;0
"Own house rent-free lot without consent of owner";"....Tarlac";4895;4453;214;115;0;110;3;0;0;0
"Own house rent-free lot without consent of owner";"....Zambales *";1455;1384;45;14;0;12;0;0;0;0
"Own house rent-free lot without consent of owner";"....City of Angeles";3766;3504;104;115;0;39;4;0;0;0
"Own house rent-free lot without consent of owner";"....City of Olongapo";297;248;15;21;0;13;0;0;0;0
"Own house rent-free lot without consent of owner";"..REGION IV-A (CALABARZON)";77289;66475;5294;4130;0;1337;51;2;0;0
"Own house rent-free lot without consent of owner";"....Batangas";8616;7704;551;214;0;143;4;0;0;0
"Own house rent-free lot without consent of owner";"....Cavite";25706;20458;2584;2163;0;469;31;1;0;0
