"Total Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0021A6DPAG0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"""Geographic Location"";""Both Sexes All Ages"";""Both Sexes Below 5"";""Both Sexes 5-9"";""Both Sexes 10-14"";""Both Sexes 15-19"";""Both Sexes 20-24"";""Both Sexes 25-29"";""Both Sexes 30-34"";""Both Sexes 35-39"";""Both Sexes 40-44"";""Both Sexes 45-49"";""Both Sexes 50-54"";""Both Sexes 55-59"";""Both Sexes 60-64"";""Both Sexes 65-69"";""Both Sexes 70-74"";""Both Sexes 75-79"";""Both Sexes 80 years old and over"";""Male All Ages"";""Male Below 5"";""Male 5-9"";""Male 10-14"";""Male 15-19"";""Male 20-24"";""Male 25-29"";""Male 30-34"";""Male 35-39"";""Male 40-44"";""Male 45-49"";""Male 50-54"";""Male 55-59"";""Male 60-64"";""Male 65-69"";""Male 70-74"";""Male 75-79"";""Male 80 years old and over"";""Female All Ages"";""Female Below 5"";""Female 5-9"";""Female 10-14"";""Female 15-19"";""Female 20-24"";""Female 25-29"";""Female 30-34"";""Female 35-39"";""Female 40-44"";""Female 45-49"";""Female 50-54"";""Female 55-59"";""Female 60-64"";""Female 65-69"";""Female 70-74"";""Female 75-79"";""Female 80 years old and over"""
"  ""....Batanes"";18831;1342;1518;1656;1802;1647;1553;1331;1228;1218;1206;1039;903;684;561;387;318;438;9769;684;828;863;928;901;883;722;646;676;628;552;476;327;262;160;115;118;9062;658;690;793;874;746;670;609;582;542;578;487;427;357;299;227;203;320"
"  ""....Cagayan"";1268603;109780;123765;126101;118821;115263;104335;92098;83379;77639;68511;61405;55650;47176;34171;21137;12835;16537;642729;56867;64474;65119;61193;59212;53332;47275;42794;39913;35455;31185;27876;22718;15877;8955;4957;5527;625874;52913;59291;60982;57628;56051;51003;44823;40585;37726;33056;30220;27774;24458;18294;12182;7878;11010"
"  ""....Isabela"";1697050;154636;164977;168999;158444;151404;141897;127663;112769;107524;93337;84014;72891;59109;41641;26317;15034;16394;864760;79427;85707;87166;81713;77618;72704;66038;58263;55784;48436;42949;36998;29453;19565;11518;5862;5559;832290;75209;79270;81833;76731;73786;69193;61625;54506;51740;44901;41065;35893;29656;22076;14799;9172;10835"
"  ""....Nueva Vizcaya"";497432;46072;50149;48788;47369;44272;40795;37142;33655;30446;26059;23859;20957;17479;12611;8023;4272;5484;256232;23838;26103;25020;24248;23098;21279;19622;18025;16184;13703;12501;10718;8746;6005;3573;1735;1834;241200;22234;24046;23768;23121;21174;19516;17520;15630;14262;12356;11358;10239;8733;6606;4450;2537;3650"
"  ""....Quirino"";203828;18855;20609;21204;19772;18143;16835;15062;13832;12732;11033;9488;8217;6781;4757;2917;1684;1907;105628;9661;10716;10924;10264;9414;8885;7937;7349;6734;5852;5078;4215;3463;2390;1347;721;678;98200;9194;9893;10280;9508;8729;7950;7125;6483;5998;5181;4410;4002;3318;2367;1570;963;1229"
"  ""..REGION III (CENTRAL LUZON)"";12422172;1189025;1212391;1218816;1154597;1156224;1057220;935195;845574;781071;667906;610831;497681;403317;282716;193782;106346;109480;6300189;615231;631437;631564;593876;593274;541255;478107;429002;398314;340960;308902;248821;196377;131733;84281;41742;35313;6121983;573794;580954;587252;560721;562950;515965;457088;416572;382757;326946;301929;248860;206940;150983;109501;64604;74167"
"  ""....Aurora"";235750;23603;25017;25460;23824;21306;18735;16864;14518;13335;12468;11054;9246;7521;5308;3448;2043;2000;120954;12135;13004;13200;12185;10981;9645;8788;7574;6909;6460;5779;4906;3758;2575;1546;833;676;114796;11468;12013;12260;11639;10325;9090;8076;6944;6426;6008;5275;4340;3763;2733;1902;1210;1324"
"  ""....Bataan"";853373;85731;85490;84430;78062;79441;71540;64309;59064;53252;43943;40345;33930;28666;20103;12960;5899;6208;431839;44160;44333;43729;40251;41237;36536;32915;29811;26858;22268;20011;16641;13728;9212;5792;2347;2010;421534;41571;41157;40701;37811;38204;35004;31394;29253;26394;21675;20334;17289;14938;10891;7168;3552;4198"
"  ""....Bulacan"";3708890;346709;358816;362184;341838;349780;321451;282765;259439;241921;202102;183863;147289;117869;81532;53806;28727;28799;1877619;180284;187566;187391;175308;179055;165139;144572;131312;122892;102202;92845;72570;56319;37389;22689;10984;9102;1831271;166425;171250;174793;166530;170725;156312;138193;128127;119029;99900;91018;74719;61550;44143;31117;17743;19697"
"  ""....Nueva Ecija"";2310134;222532;227600;228610;212488;205314;191693;168163;154122;143591;125934;116691;96943;78413;54963;36939;22754;23384;1171914;114951;118672;118713;109211;105367;98164;86030;78330;73600;64371;59319;48750;38468;25898;15875;8844;7351;1138220;107581;108928;109897;103277;99947;93529;82133;75792;69991;61563;57372;48193;39945;29065;21064;13910;16033"
