"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""....City of Manila"";""Male"";""5-9"";86206",,,,
"Total Population;""....City of Manila"";""Male"";""10-14"";81657",,,,
"Total Population;""....City of Manila"";""Male"";""15-19"";79942",,,,
"Total Population;""....City of Manila"";""Male"";""20-24"";90893",,,,
"Total Population;""....City of Manila"";""Male"";""25-29"";90344",,,,
"Total Population;""....City of Manila"";""Male"";""30-34"";80241",,,,
"Total Population;""....City of Manila"";""Male"";""35-39"";67844",,,,
"Total Population;""....City of Manila"";""Male"";""40-44"";59753",,,,
"Total Population;""....City of Manila"";""Male"";""45-49"";50560",,,,
"Total Population;""....City of Manila"";""Male"";""50-54"";44618",,,,
"Total Population;""....City of Manila"";""Male"";""55-59"";35629",,,,
"Total Population;""....City of Manila"";""Male"";""60-64"";27505",,,,
"Total Population;""....City of Manila"";""Male"";""65-69"";17480",,,,
"Total Population;""....City of Manila"";""Male"";""70-74"";10563",,,,
"Total Population;""....City of Manila"";""Male"";""75-79"";4452",,,,
"Total Population;""....City of Manila"";""Male"";""80 years old and over"";3534",,,,
"Total Population;""....City of Manila"";""Female"";""All Ages"";927870",,,,
"Total Population;""....City of Manila"";""Female"";""Below 5"";81853",,,,
"Total Population;""....City of Manila"";""Female"";""5-9"";80099",,,,
"Total Population;""....City of Manila"";""Female"";""10-14"";76920",,,,
"Total Population;""....City of Manila"";""Female"";""15-19"";77828",,,,
"Total Population;""....City of Manila"";""Female"";""20-24"";90134",,,,
"Total Population;""....City of Manila"";""Female"";""25-29"";88440",,,,
"Total Population;""....City of Manila"";""Female"";""30-34"";75609",,,,
"Total Population;""....City of Manila"";""Female"";""35-39"";65937",,,,
"Total Population;""....City of Manila"";""Female"";""40-44"";59468",,,,
"Total Population;""....City of Manila"";""Female"";""45-49"";51310",,,,
"Total Population;""....City of Manila"";""Female"";""50-54"";48093",,,,
"Total Population;""....City of Manila"";""Female"";""55-59"";40406",,,,
"Total Population;""....City of Manila"";""Female"";""60-64"";33598",,,,
"Total Population;""....City of Manila"";""Female"";""65-69"";23366",,,,
"Total Population;""....City of Manila"";""Female"";""70-74"";16255",,,,
"Total Population;""....City of Manila"";""Female"";""75-79"";8486",,,,
"Total Population;""....City of Manila"";""Female"";""80 years old and over"";10068",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""All Ages"";425758",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""Below 5"";38660",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""5-9"";36697",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""10-14"";34556",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""15-19"";31490",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""20-24"";43835",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""25-29"";46209",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""30-34"";39330",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""35-39"";33001",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""40-44"";28304",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""45-49"";23716",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""50-54"";20232",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""55-59"";16390",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""60-64"";12996",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""65-69"";8772",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""70-74"";5793",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""75-79"";2942",,,,
"Total Population;""....City of Mandaluyong"";""Both Sexes"";""80 years old and over"";2835",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""All Ages"";209013",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""Below 5"";19973",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""5-9"";18721",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""10-14"";17753",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""15-19"";15862",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""20-24"";21696",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""25-29"";23171",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""30-34"";19868",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""35-39"";16365",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""40-44"";14035",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""45-49"";11568",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""50-54"";9582",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""55-59"";7342",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""60-64"";5582",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""65-69"";3595",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""70-74"";2171",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""75-79"";992",,,,
"Total Population;""....City of Mandaluyong"";""Male"";""80 years old and over"";737",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""All Ages"";216745",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""Below 5"";18687",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""5-9"";17976",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""10-14"";16803",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""15-19"";15628",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""20-24"";22139",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""25-29"";23038",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""30-34"";19462",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""35-39"";16636",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""40-44"";14269",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""45-49"";12148",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""50-54"";10650",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""55-59"";9048",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""60-64"";7414",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""65-69"";5177",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""70-74"";3622",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""75-79"";1950",,,,
"Total Population;""....City of Mandaluyong"";""Female"";""80 years old and over"";2098",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""All Ages"";456059",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""Below 5"";42164",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""5-9"";42327",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""10-14"";41265",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""15-19"";38423",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""20-24"";40964",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""25-29"";40636",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""30-34"";36508",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""35-39"";32401",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""40-44"";29822",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""45-49"";26360",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""50-54"";23434",,,,
