"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Household Population;""....City of Zamboanga"";""Male"";""Below 5"";50455",,,,
"Household Population;""....City of Zamboanga"";""Male"";""5-9"";54431",,,,
"Household Population;""....City of Zamboanga"";""Male"";""10-14"";51508",,,,
"Household Population;""....City of Zamboanga"";""Male"";""15-19"";48376",,,,
"Household Population;""....City of Zamboanga"";""Male"";""20-24"";48405",,,,
"Household Population;""....City of Zamboanga"";""Male"";""25-29"";42597",,,,
"Household Population;""....City of Zamboanga"";""Male"";""30-34"";35836",,,,
"Household Population;""....City of Zamboanga"";""Male"";""35-39"";31844",,,,
"Household Population;""....City of Zamboanga"";""Male"";""40-44"";29073",,,,
"Household Population;""....City of Zamboanga"";""Male"";""45-49"";24550",,,,
"Household Population;""....City of Zamboanga"";""Male"";""50-54"";20693",,,,
"Household Population;""....City of Zamboanga"";""Male"";""55-59"";16768",,,,
"Household Population;""....City of Zamboanga"";""Male"";""60-64"";13288",,,,
"Household Population;""....City of Zamboanga"";""Male"";""65-69"";9451",,,,
"Household Population;""....City of Zamboanga"";""Male"";""70-74"";5281",,,,
"Household Population;""....City of Zamboanga"";""Male"";""75-79"";2543",,,,
"Household Population;""....City of Zamboanga"";""Male"";""80 years old and over"";1982",,,,
"Household Population;""....City of Zamboanga"";""Female"";""All Ages"";482310",,,,
"Household Population;""....City of Zamboanga"";""Female"";""Below 5"";48440",,,,
"Household Population;""....City of Zamboanga"";""Female"";""5-9"";51538",,,,
"Household Population;""....City of Zamboanga"";""Female"";""10-14"";49466",,,,
"Household Population;""....City of Zamboanga"";""Female"";""15-19"";47592",,,,
"Household Population;""....City of Zamboanga"";""Female"";""20-24"";47710",,,,
"Household Population;""....City of Zamboanga"";""Female"";""25-29"";41405",,,,
"Household Population;""....City of Zamboanga"";""Female"";""30-34"";34765",,,,
"Household Population;""....City of Zamboanga"";""Female"";""35-39"";30639",,,,
"Household Population;""....City of Zamboanga"";""Female"";""40-44"";28107",,,,
"Household Population;""....City of Zamboanga"";""Female"";""45-49"";24084",,,,
"Household Population;""....City of Zamboanga"";""Female"";""50-54"";21028",,,,
"Household Population;""....City of Zamboanga"";""Female"";""55-59"";17105",,,,
"Household Population;""....City of Zamboanga"";""Female"";""60-64"";14563",,,,
"Household Population;""....City of Zamboanga"";""Female"";""65-69"";10626",,,,
"Household Population;""....City of Zamboanga"";""Female"";""70-74"";7114",,,,
"Household Population;""....City of Zamboanga"";""Female"";""75-79"";4007",,,,
"Household Population;""....City of Zamboanga"";""Female"";""80 years old and over"";4121",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""All Ages"";5007798",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""Below 5"";546295",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""5-9"";567054",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""10-14"";541787",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""15-19"";501159",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""20-24"";453277",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""25-29"";415346",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""30-34"";364653",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""35-39"";306012",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""40-44"";278384",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""45-49"";241383",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""50-54"";214965",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""55-59"";182473",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""60-64"";148102",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""65-69"";105198",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""70-74"";64739",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""75-79"";38337",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Both Sexes"";""80 years old and over"";38634",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""All Ages"";2554944",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""Below 5"";281472",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""5-9"";293294",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""10-14"";278695",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""15-19"";254943",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""20-24"";230324",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""25-29"";212798",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""30-34"";190277",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""35-39"";159554",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""40-44"";144581",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""45-49"";124356",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""50-54"";108799",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""55-59"";92030",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""60-64"";73103",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""65-69"";50842",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""70-74"";29749",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""75-79"";16130",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Male"";""80 years old and over"";13997",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""All Ages"";2452854",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""Below 5"";264823",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""5-9"";273760",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""10-14"";263092",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""15-19"";246216",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""20-24"";222953",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""25-29"";202548",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""30-34"";174376",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""35-39"";146458",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""40-44"";133803",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""45-49"";117027",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""50-54"";106166",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""55-59"";90443",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""60-64"";74999",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""65-69"";54356",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""70-74"";34990",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""75-79"";22207",,,,
"Household Population;""..REGION X (NORTHERN MINDANAO)"";""Female"";""80 years old and over"";24637",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""All Ages"";1537629",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""Below 5"";170498",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""5-9"";185288",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""10-14"";175390",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""15-19"";157284",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""20-24"";137550",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""25-29"";127764",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""30-34"";114155",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""35-39"";93764",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""40-44"";83418",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""45-49"";71132",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""50-54"";62010",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""55-59"";52092",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""60-64"";41778",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""65-69"";28333",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""70-74"";16883",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""75-79"";10025",,,,
"Household Population;""....Bukidnon"";""Both Sexes"";""80 years old and over"";10265",,,,
"Household Population;""....Bukidnon"";""Male"";""All Ages"";798656",,,,
"Household Population;""....Bukidnon"";""Male"";""Below 5"";88353",,,,
"Household Population;""....Bukidnon"";""Male"";""5-9"";95683",,,,
"Household Population;""....Bukidnon"";""Male"";""10-14"";90325",,,,
"Household Population;""....Bukidnon"";""Male"";""15-19"";80861",,,,
"Household Population;""....Bukidnon"";""Male"";""20-24"";70877",,,,
"Household Population;""....Bukidnon"";""Male"";""25-29"";67148",,,,
"Household Population;""....Bukidnon"";""Male"";""30-34"";60849",,,,
"Household Population;""....Bukidnon"";""Male"";""35-39"";50224",,,,
"Household Population;""....Bukidnon"";""Male"";""40-44"";44606",,,,
"Household Population;""....Bukidnon"";""Male"";""45-49"";37576",,,,
"Household Population;""....Bukidnon"";""Male"";""50-54"";32230",,,,
"Household Population;""....Bukidnon"";""Male"";""55-59"";27097",,,,
"Household Population;""....Bukidnon"";""Male"";""60-64"";21398",,,,
"Household Population;""....Bukidnon"";""Male"";""65-69"";14330",,,,
"Household Population;""....Bukidnon"";""Male"";""70-74"";8355",,,,
"Household Population;""....Bukidnon"";""Male"";""75-79"";4628",,,,
"Household Population;""....Bukidnon"";""Male"";""80 years old and over"";4116",,,,
"Household Population;""....Bukidnon"";""Female"";""All Ages"";738973",,,,
"Household Population;""....Bukidnon"";""Female"";""Below 5"";82145",,,,
"Household Population;""....Bukidnon"";""Female"";""5-9"";89605",,,,
"Household Population;""....Bukidnon"";""Female"";""10-14"";85065",,,,
"Household Population;""....Bukidnon"";""Female"";""15-19"";76423",,,,
"Household Population;""....Bukidnon"";""Female"";""20-24"";66673",,,,
"Household Population;""....Bukidnon"";""Female"";""25-29"";60616",,,,
"Household Population;""....Bukidnon"";""Female"";""30-34"";53306",,,,
"Household Population;""....Bukidnon"";""Female"";""35-39"";43540",,,,
"Household Population;""....Bukidnon"";""Female"";""40-44"";38812",,,,
"Household Population;""....Bukidnon"";""Female"";""45-49"";33556",,,,
"Household Population;""....Bukidnon"";""Female"";""50-54"";29780",,,,
"Household Population;""....Bukidnon"";""Female"";""55-59"";24995",,,,
"Household Population;""....Bukidnon"";""Female"";""60-64"";20380",,,,
"Household Population;""....Bukidnon"";""Female"";""65-69"";14003",,,,
"Household Population;""....Bukidnon"";""Female"";""70-74"";8528",,,,
"Household Population;""....Bukidnon"";""Female"";""75-79"";5397",,,,
"Household Population;""....Bukidnon"";""Female"";""80 years old and over"";6149",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""All Ages"";92696",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""Below 5"";8900",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""5-9"";10043",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""10-14"";9708",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""15-19"";9104",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""20-24"";7407",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""25-29"";6626",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""30-34"";5846",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""35-39"";5399",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""40-44"";5203",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""45-49"";4891",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""50-54"";4799",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""55-59"";4257",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""60-64"";3363",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""65-69"";2552",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""70-74"";1865",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""75-79"";1322",,,,
"Household Population;""....Camiguin"";""Both Sexes"";""80 years old and over"";1411",,,,
"Household Population;""....Camiguin"";""Male"";""All Ages"";47131",,,,
"Household Population;""....Camiguin"";""Male"";""Below 5"";4609",,,,
"Household Population;""....Camiguin"";""Male"";""5-9"";5193",,,,
"Household Population;""....Camiguin"";""Male"";""10-14"";5063",,,,
"Household Population;""....Camiguin"";""Male"";""15-19"";4646",,,,
"Household Population;""....Camiguin"";""Male"";""20-24"";3831",,,,
"Household Population;""....Camiguin"";""Male"";""25-29"";3314",,,,
"Household Population;""....Camiguin"";""Male"";""30-34"";3047",,,,
"Household Population;""....Camiguin"";""Male"";""35-39"";2820",,,,
"Household Population;""....Camiguin"";""Male"";""40-44"";2730",,,,
"Household Population;""....Camiguin"";""Male"";""45-49"";2490",,,,
"Household Population;""....Camiguin"";""Male"";""50-54"";2446",,,,
"Household Population;""....Camiguin"";""Male"";""55-59"";2179",,,,
"Household Population;""....Camiguin"";""Male"";""60-64"";1696",,,,
"Household Population;""....Camiguin"";""Male"";""65-69"";1222",,,,
"Household Population;""....Camiguin"";""Male"";""70-74"";835",,,,
"Household Population;""....Camiguin"";""Male"";""75-79"";535",,,,
"Household Population;""....Camiguin"";""Male"";""80 years old and over"";475",,,,
"Household Population;""....Camiguin"";""Female"";""All Ages"";45565",,,,
"Household Population;""....Camiguin"";""Female"";""Below 5"";4291",,,,
"Household Population;""....Camiguin"";""Female"";""5-9"";4850",,,,
"Household Population;""....Camiguin"";""Female"";""10-14"";4645",,,,
"Household Population;""....Camiguin"";""Female"";""15-19"";4458",,,,
"Household Population;""....Camiguin"";""Female"";""20-24"";3576",,,,
"Household Population;""....Camiguin"";""Female"";""25-29"";3312",,,,
"Household Population;""....Camiguin"";""Female"";""30-34"";2799",,,,
"Household Population;""....Camiguin"";""Female"";""35-39"";2579",,,,
"Household Population;""....Camiguin"";""Female"";""40-44"";2473",,,,
"Household Population;""....Camiguin"";""Female"";""45-49"";2401",,,,
"Household Population;""....Camiguin"";""Female"";""50-54"";2353",,,,
"Household Population;""....Camiguin"";""Female"";""55-59"";2078",,,,
"Household Population;""....Camiguin"";""Female"";""60-64"";1667",,,,
"Household Population;""....Camiguin"";""Female"";""65-69"";1330",,,,
"Household Population;""....Camiguin"";""Female"";""70-74"";1030",,,,
"Household Population;""....Camiguin"";""Female"";""75-79"";787",,,,
"Household Population;""....Camiguin"";""Female"";""80 years old and over"";936",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""All Ages"";721716",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""Below 5"";89818",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""5-9"";92406",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""10-14"";86380",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""15-19"";77378",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""20-24"";67926",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""25-29"";59936",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""30-34"";49458",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""35-39"";41258",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""40-44"";36459",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""45-49"";30494",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""50-54"";26039",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""55-59"";20413",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""60-64"";16474",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""65-69"";11709",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""70-74"";7443",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""75-79"";3997",,,,
"Household Population;""....Lanao del Norte *"";""Both Sexes"";""80 years old and over"";4128",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""All Ages"";362139",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""Below 5"";45841",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""5-9"";46758",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""10-14"";43577",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""15-19"";38426",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""20-24"";33622",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""25-29"";29444",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""30-34"";25147",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""35-39"";21005",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""40-44"";18650",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""45-49"";15587",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""50-54"";13066",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""55-59"";10434",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""60-64"";8224",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""65-69"";5645",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""70-74"";3439",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""75-79"";1716",,,,
"Household Population;""....Lanao del Norte *"";""Male"";""80 years old and over"";1558",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""All Ages"";359577",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""Below 5"";43977",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""5-9"";45648",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""10-14"";42803",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""15-19"";38952",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""20-24"";34304",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""25-29"";30492",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""30-34"";24311",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""35-39"";20253",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""40-44"";17809",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""45-49"";14907",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""50-54"";12973",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""55-59"";9979",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""60-64"";8250",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""65-69"";6064",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""70-74"";4004",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""75-79"";2281",,,,
"Household Population;""....Lanao del Norte *"";""Female"";""80 years old and over"";2570",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""All Ages"";614951",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""Below 5"";60324",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""5-9"";62220",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""10-14"";62050",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""15-19"";60305",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""20-24"";52922",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""25-29"";46899",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""30-34"";41593",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""35-39"";36189",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""40-44"";35244",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""45-49"";32847",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""50-54"";31009",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""55-59"";26925",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""60-64"";22547",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""65-69"";16914",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""70-74"";11497",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""75-79"";7759",,,,
"Household Population;""....Misamis Occidental"";""Both Sexes"";""80 years old and over"";7707",,,,
"Household Population;""....Misamis Occidental"";""Male"";""All Ages"";310907",,,,
"Household Population;""....Misamis Occidental"";""Male"";""Below 5"";30890",,,,
"Household Population;""....Misamis Occidental"";""Male"";""5-9"";32349",,,,
"Household Population;""....Misamis Occidental"";""Male"";""10-14"";32035",,,,
"Household Population;""....Misamis Occidental"";""Male"";""15-19"";30820",,,,
"Household Population;""....Misamis Occidental"";""Male"";""20-24"";27058",,,,
"Household Population;""....Misamis Occidental"";""Male"";""25-29"";24020",,,,
"Household Population;""....Misamis Occidental"";""Male"";""30-34"";21548",,,,
"Household Population;""....Misamis Occidental"";""Male"";""35-39"";18733",,,,
"Household Population;""....Misamis Occidental"";""Male"";""40-44"";18316",,,,
"Household Population;""....Misamis Occidental"";""Male"";""45-49"";16827",,,,
"Household Population;""....Misamis Occidental"";""Male"";""50-54"";15728",,,,
"Household Population;""....Misamis Occidental"";""Male"";""55-59"";13416",,,,
"Household Population;""....Misamis Occidental"";""Male"";""60-64"";10828",,,,
"Household Population;""....Misamis Occidental"";""Male"";""65-69"";7814",,,,
"Household Population;""....Misamis Occidental"";""Male"";""70-74"";4933",,,,
"Household Population;""....Misamis Occidental"";""Male"";""75-79"";3036",,,,
"Household Population;""....Misamis Occidental"";""Male"";""80 years old and over"";2556",,,,
"Household Population;""....Misamis Occidental"";""Female"";""All Ages"";304044",,,,
"Household Population;""....Misamis Occidental"";""Female"";""Below 5"";29434",,,,
"Household Population;""....Misamis Occidental"";""Female"";""5-9"";29871",,,,
"Household Population;""....Misamis Occidental"";""Female"";""10-14"";30015",,,,
"Household Population;""....Misamis Occidental"";""Female"";""15-19"";29485",,,,
"Household Population;""....Misamis Occidental"";""Female"";""20-24"";25864",,,,
"Household Population;""....Misamis Occidental"";""Female"";""25-29"";22879",,,,
"Household Population;""....Misamis Occidental"";""Female"";""30-34"";20045",,,,
"Household Population;""....Misamis Occidental"";""Female"";""35-39"";17456",,,,
"Household Population;""....Misamis Occidental"";""Female"";""40-44"";16928",,,,
"Household Population;""....Misamis Occidental"";""Female"";""45-49"";16020",,,,
"Household Population;""....Misamis Occidental"";""Female"";""50-54"";15281",,,,
"Household Population;""....Misamis Occidental"";""Female"";""55-59"";13509",,,,
"Household Population;""....Misamis Occidental"";""Female"";""60-64"";11719",,,,
"Household Population;""....Misamis Occidental"";""Female"";""65-69"";9100",,,,
"Household Population;""....Misamis Occidental"";""Female"";""70-74"";6564",,,,
"Household Population;""....Misamis Occidental"";""Female"";""75-79"";4723",,,,
"Household Population;""....Misamis Occidental"";""Female"";""80 years old and over"";5151",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""All Ages"";954953",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""Below 5"";106534",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""5-9"";107947",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""10-14"";102942",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""15-19"";94822",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""20-24"";82854",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""25-29"";76091",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""30-34"";68842",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""35-39"";57613",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""40-44"";52678",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""45-49"";45763",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""50-54"";41970",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""55-59"";36784",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""60-64"";29590",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""65-69"";21384",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""70-74"";13159",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""75-79"";7850",,,,
"Household Population;""....Misamis Oriental *"";""Both Sexes"";""80 years old and over"";8130",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""All Ages"";489483",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""Below 5"";54814",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""5-9"";56462",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""10-14"";53314",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""15-19"";48807",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""20-24"";42849",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""25-29"";39396",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""30-34"";36056",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""35-39"";30202",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""40-44"";27341",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""45-49"";23551",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""50-54"";21117",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""55-59"";18466",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""60-64"";14589",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""65-69"";10426",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""70-74"";5959",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""75-79"";3239",,,,
"Household Population;""....Misamis Oriental *"";""Male"";""80 years old and over"";2895",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""All Ages"";465470",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""Below 5"";51720",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""5-9"";51485",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""10-14"";49628",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""15-19"";46015",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""20-24"";40005",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""25-29"";36695",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""30-34"";32786",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""35-39"";27411",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""40-44"";25337",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""45-49"";22212",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""50-54"";20853",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""55-59"";18318",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""60-64"";15001",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""65-69"";10958",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""70-74"";7200",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""75-79"";4611",,,,
"Household Population;""....Misamis Oriental *"";""Female"";""80 years old and over"";5235",,,,
