"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Total";"One Floor";"Two Floors";"Three Floors";"Four Floors";"Five to 10 Floors";"11 Floors or more";"Not Reported";"Not applicable"
"Single House";"....Eastern Samar";112273;90305;21556;365;29;0;0;18;0
"Single House";"....Leyte *";421070;383216;37008;767;41;0;0;38;0
"Single House";"....Northern Samar";135849;112902;22411;479;36;0;0;21;0
"Single House";"....Samar (Western Samar)";172195;141007;30158;891;79;0;0;60;0
"Single House";"....Southern Leyte";96269;88243;7767;229;24;0;0;6;0
"Single House";"....City of Tacloban";43943;31477;11994;404;61;0;0;7;0
"Single House";"..REGION IX (ZAMBOANGA PENINSULA)";830031;766289;62539;909;131;0;0;163;0
"Single House";"....Zamboanga del Norte";235603;219658;15709;199;16;0;0;21;0
"Single House";"....Zamboanga del Sur *";229928;215290;14425;168;12;0;0;33;0
"Single House";"....Zamboanga Sibugay";147054;139403;7564;78;5;0;0;4;0
"Single House";"....City of Isabela **";23504;21082;2367;28;4;0;0;23;0
"Single House";"....City of Zamboanga";193942;170856;22474;436;94;0;0;82;0
"Single House";"..REGION X (NORTHERN MINDANAO)";1081168;941873;136018;2826;223;0;0;228;0
"Single House";"....Bukidnon";340595;317160;22904;352;59;0;0;120;0
"Single House";"....Camiguin";21596;18709;2852;35;0;0;0;0;0
"Single House";"....Lanao del Norte *";134206;122010;12085;85;8;0;0;18;0
"Single House";"....Misamis Occidental";140552;125172;15143;213;14;0;0;10;0
"Single House";"....Misamis Oriental *";211538;187062;24127;301;19;0;0;29;0
"Single House";"....City of Cagayan de Oro";160348;116732;42120;1365;86;0;0;45;0
"Single House";"....City of Iligan";72333;55028;16787;475;37;0;0;6;0
"Single House";"..REGION XI (DAVAO REGION)";1223298;1102729;116512;3249;437;0;0;371;0
"Single House";"....Davao de Oro (Compostela Valley)";171682;162194;9297;115;11;0;0;65;0
"Single House";"....Davao del Norte";251286;235003;16022;162;17;0;0;82;0
"Single House";"....Davao del Sur *";172571;161833;10586;79;15;0;0;58;0
"Single House";"....Davao Occidental";76650;72202;4405;10;2;0;0;31;0
"Single House";"....Davao Oriental";130778;123504;7203;51;6;0;0;14;0
"Single House";"....City of Davao";420331;347993;68999;2832;386;0;0;121;0
"Single House";"..REGION XII (SOCCSKSARGEN)";1004843;963742;40567;372;47;0;0;115;0
"Single House";"....Cotabato (North Cotabato)";294899;281230;13512;113;14;0;0;30;0
"Single House";"....Sarangani";129155;123889;5230;23;2;0;0;11;0
"Single House";"....South Cotabato *";232535;226171;6240;80;15;0;0;29;0
"Single House";"....Sultan Kudarat";192648;187137;5437;42;5;0;0;27;0
"Single House";"....City of General Santos (Dadiangas)";155606;145315;10148;114;11;0;0;18;0
"Single House";"..REGION XIII (CARAGA)";628982;556460;71421;894;81;0;0;126;0
"Single House";"....Agusan del Norte *";85438;77248;8124;42;7;0;0;17;0
"Single House";"....Agusan del Sur";169439;155549;13797;59;1;0;0;33;0
"Single House";"....Dinagat Islands";28195;24774;3362;47;5;0;0;7;0
"Single House";"....Surigao del Norte";120349;104707;15152;415;55;0;0;20;0
"Single House";"....Surigao del Sur";143694;124241;19227;203;7;0;0;16;0
"Single House";"....City of Butuan";81867;69941;11759;128;6;0;0;33;0
"Single House";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";715217;643959;60579;1070;150;0;0;9459;0
"Single House";"....Basilan";69013;66643;2202;23;6;0;0;139;0
"Single House";"....Lanao del Sur";127356;101442;24910;586;70;0;0;348;0
"Single House";"....Maguindanao";262899;238631;23614;294;41;0;0;319;0
"Single House";"....Sulu";144885;132499;3654;96;20;0;0;8616;0
"Single House";"....Tawi-Tawi";65547;61809;3630;63;9;0;0;36;0
"Single House";"....Eight (8) Area Clusters ***";45517;42935;2569;8;4;0;0;1;0
"Duplex";"PHILIPPINES";746765;528939;195327;16548;3353;0;0;2598;0
"Duplex";"..NATIONAL CAPITAL REGION (NCR)";130099;54684;59422;11916;2771;0;0;1306;0
"Duplex";"....City of Manila";12984;1160;8067;2478;868;0;0;411;0
"Duplex";"....City of Mandaluyong";2689;193;1518;600;257;0;0;121;0
"Duplex";"....City of Marikina";4818;1935;2450;376;54;0;0;3;0
"Duplex";"....City of Pasig";11219;3783;5952;1225;221;0;0;38;0
"Duplex";"....Quezon City";26169;11236;12198;2111;439;0;0;185;0
"Duplex";"....City of San Juan";764;51;454;176;55;0;0;28;0
"Duplex";"....City of Caloocan";17821;10979;5748;863;139;0;0;92;0
"Duplex";"....City of Malabon";1947;818;985;111;26;0;0;7;0
"Duplex";"....City of Navotas";1449;536;754;141;13;0;0;5;0
"Duplex";"....City of Valenzuela";8521;5582;2484;315;25;0;0;115;0
"Duplex";"....City of Las Piñas";7140;2924;3657;498;54;0;0;7;0
"Duplex";"....City of Makati";4892;1696;2365;492;147;0;0;192;0
"Duplex";"....City of Muntinlupa";5444;3258;2021;146;12;0;0;7;0
"Duplex";"....City of Parañaque";5234;1770;2928;445;58;0;0;33;0
"Duplex";"....Pasay City";3372;756;2036;402;150;0;0;28;0
"Duplex";"....City of Taguig";14700;7519;5401;1497;249;0;0;34;0
"Duplex";"....Pateros";936;488;404;40;4;0;0;0;0
"Duplex";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";1736;611;568;332;150;0;0;75;0
"Duplex";"....Abra";460;341;109;10;0;0;0;0;0
"Duplex";"....Apayao";55;42;11;0;2;0;0;0;0
"Duplex";"....Benguet *";206;54;67;52;21;0;0;12;0
"Duplex";"....Ifugao";122;57;47;12;4;0;0;2;0
"Duplex";"....Kalinga";79;56;22;1;0;0;0;0;0
"Duplex";"....Mountain Province";54;2;10;6;19;0;0;17;0
"Duplex";"....City of Baguio";760;59;302;251;104;0;0;44;0
"Duplex";"..REGION I (ILOCOS REGION)";29276;24211;4863;158;20;0;0;24;0
"Duplex";"....Ilocos Norte";4153;3386;741;21;3;0;0;2;0
"Duplex";"....Ilocos Sur";2972;2282;671;13;4;0;0;2;0
"Duplex";"....La Union";4301;3564;702;29;6;0;0;0;0
"Duplex";"....Pangasinan";17850;14979;2749;95;7;0;0;20;0
"Duplex";"..REGION II (CAGAYAN VALLEY)";20428;17129;3137;144;16;0;0;2;0
"Duplex";"....Batanes";22;4;18;0;0;0;0;0;0
"Duplex";"....Cagayan";6666;5119;1453;80;14;0;0;0;0
"Duplex";"....Isabela";10277;9183;1047;45;1;0;0;1;0
"Duplex";"....Nueva Vizcaya";3001;2397;583;19;1;0;0;1;0
"Duplex";"....Quirino";462;426;36;0;0;0;0;0;0
"Duplex";"..REGION III (CENTRAL LUZON)";130280;108605;20996;503;32;0;0;144;0
"Duplex";"....Aurora";636;597;37;2;0;0;0;0;0
"Duplex";"....Bataan";10172;8482;1665;21;1;0;0;3;0
"Duplex";"....Bulacan";48007;38503;9174;265;17;0;0;48;0
"Duplex";"....Nueva Ecija";18645;16720;1878;43;1;0;0;3;0
"Duplex";"....Pampanga *";21945;19032;2798;71;9;0;0;35;0
"Duplex";"....Tarlac";13521;11857;1637;17;0;0;0;10;0
"Duplex";"....Zambales *";7227;6343;870;14;0;0;0;0;0
"Duplex";"....City of Angeles";5613;3921;1639;13;2;0;0;38;0
"Duplex";"....City of Olongapo";4514;3150;1298;57;2;0;0;7;0
"Duplex";"..REGION IV-A (CALABARZON)";240936;176758;61821;2111;174;0;0;72;0
"Duplex";"....Batangas";32687;27482;5123;70;6;0;0;6;0
"Duplex";"....Cavite";100247;70694;28674;770;66;0;0;43;0
"Duplex";"....Laguna";57593;43215;13942;395;26;0;0;15;0
"Duplex";"....Quezon *";14116;11254;2742;103;15;0;0;2;0
"Duplex";"....Rizal";33622;22315;10485;758;58;0;0;6;0
"Duplex";"....City of Lucena";2671;1798;855;15;3;0;0;0;0
"Duplex";"..MIMAROPA REGION";10952;9076;1823;46;7;0;0;0;0
"Duplex";"....Marinduque";525;386;134;5;0;0;0;0;0
"Duplex";"....Occidental Mindoro";1856;1626;229;1;0;0;0;0;0
"Duplex";"....Oriental Mindoro";3938;3297;627;13;1;0;0;0;0
"Duplex";"....Palawan *";1522;1278;235;7;2;0;0;0;0
"Duplex";"....Romblon";1032;724;291;13;4;0;0;0;0
"Duplex";"....City of Puerto Princesa";2079;1765;307;7;0;0;0;0;0
"Duplex";"..REGION V (BICOL REGION)";22519;17766;4532;205;14;0;0;2;0
"Duplex";"....Albay";6334;4874;1351;101;7;0;0;1;0
"Duplex";"....Camarines Norte";2392;2021;364;7;0;0;0;0;0
"Duplex";"....Camarines Sur";9335;7276;1978;75;6;0;0;0;0
"Duplex";"....Catanduanes";344;248;87;7;1;0;0;1;0
"Duplex";"....Masbate";1441;1037;391;13;0;0;0;0;0
"Duplex";"....Sorsogon";2673;2310;361;2;0;0;0;0;0
"Duplex";"..REGION VI (WESTERN VISAYAS)";24970;19481;5307;137;24;0;0;21;0
"Duplex";"....Aklan";1465;1005;437;20;3;0;0;0;0
"Duplex";"....Antique";1549;1371;176;2;0;0;0;0;0
"Duplex";"....Capiz";2841;2248;581;11;0;0;0;1;0
"Duplex";"....Guimaras";51;39;11;1;0;0;0;0;0
"Duplex";"....Iloilo *";5886;4676;1165;28;3;0;0;14;0
"Duplex";"....Negros Occidental *";7603;6521;1074;7;0;0;0;1;0
"Duplex";"....City of Bacolod";3144;2458;671;13;2;0;0;0;0
