"Number of Workers Who Received Cash and Non-Cash Productivity-Based Incentives in Establishments Employing 20 or More Workers by Major Industry Group, Philippines: 2015"

"Type of workers";"Major Industry Group";"Cash and Non-Cash Productivity-Based Incentives";"2015"
"Supervisors";"..Manufacturing";"..Number of Workers Who Received Non-Cash Incentives";2949
"Supervisors";"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Number of Workers Who Received Cash and Non-Cash Incentives";650
"Supervisors";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Number of Workers Who Received Cash Incentives";600
"Supervisors";"..Electricity, Gas, Steam and Air Conditioning Supply";"....Below P5,000";88
"Supervisors";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P5,000-P9,999";0
"Supervisors";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P10,000-P14,999";0
"Supervisors";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P15,000-P19,999";117
"Supervisors";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P20,000 and Over";395
"Supervisors";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Number of Workers Who Received Non-Cash Incentives";50
"Supervisors";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";59
"Supervisors";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Number of Workers Who Received Cash Incentives";53
"Supervisors";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Below P5,000";0
"Supervisors";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P5,000-P9,999";10
"Supervisors";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P10,000-P14,999";17
"Supervisors";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P15,000-P19,999";2
"Supervisors";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P20,000 and Over";24
"Supervisors";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Number of Workers Who Received Non-Cash Incentives";6
"Supervisors";"..Construction";"Total Number of Workers Who Received Cash and Non-Cash Incentives";862
"Supervisors";"..Construction";"..Number of Workers Who Received Cash Incentives";655
"Supervisors";"..Construction";"....Below P5,000";42
"Supervisors";"..Construction";"....P5,000-P9,999";533
"Supervisors";"..Construction";"....P10,000-P14,999";59
"Supervisors";"..Construction";"....P15,000-P19,999";21
"Supervisors";"..Construction";"....P20,000 and Over";1
"Supervisors";"..Construction";"..Number of Workers Who Received Non-Cash Incentives";207
